,logFC,AveExpr,t,P.Value,adj.P.Val,B,type
MGLL,-0.39126733,8.74897318483946,-6.637422429,3.88029135124e-10,5.61543525439664e-09,12.66731093,NOT
C5orf56,0.274302156488366,6.28610309194018,6.63427803797052,3.94690064496685e-10,5.70773855448358e-09,12.6507907444273,NOT
SEC24A,0.455321116328131,6.89269850265246,6.6337670576726,3.9578308212523e-10,5.71944800425493e-09,12.6481065639015,NOT
PQLC3,0.2320226754247,7.02403070142768,6.63360792272985,3.9612408949129e-10,5.72028120075119e-09,12.6472706527027,NOT
FCGR2A,0.360117262643943,4.65544626016958,6.63122857418908,4.01257380710459e-10,5.79026733508417e-09,12.6347737182595,NOT
VSNL1,-0.394807195,9.11972566004613,-6.628119482,4.08063849484478e-10,5.88428070956617e-09,12.6184479884521,NOT
PLPP6,-0.364893294,6.67369561569707,-6.62735459,4.09755707825974e-10,5.89879684759723e-09,12.6144322619755,NOT
EIF3F,-0.220840129,5.96852671793927,-6.62729566,4.09886342218744e-10,5.89879684759723e-09,12.6141228840251,NOT
TYROBP,0.503996303233993,7.86820792789568,6.62726825913034,4.09947096155088e-10,5.89879684759723e-09,12.6139790357198,NOT
CTNNAL1,-0.470431718,7.56845527882499,-6.625279784,4.14379803214923e-10,5.95833295391941e-09,12.6035407931095,NOT
TTC9,-0.437440682,6.34398320468248,-6.621559557,4.2280000894466e-10,6.07507941677922e-09,12.5840169332394,NOT
RSL1D1,-0.253732789,7.25025462131597,-6.620003246,4.26372264305559e-10,6.1220506911811e-09,12.5758512925957,NOT
TAF13,-0.311590053,6.17968970036428,-6.619105433,4.28446541400923e-10,6.14746181791175e-09,12.5711411751109,NOT
APOC1,0.448269651247012,6.52641358168574,6.6187896066525,4.29178576269399e-10,6.1535916887263e-09,12.569484370988,NOT
FEZ1,0.328319450559619,5.85822573472229,6.61788319025381,4.31286346838199e-10,6.17942425122041e-09,12.5647296349711,NOT
SIT1,0.548391872550789,6.32611504338067,6.61513994572079,4.3772774045148e-10,6.26726781860602e-09,12.5503419095265,NOT
RNF8,-0.22424439,5.69884788081972,-6.61476866,4.38606799084909e-10,6.27540330256991e-09,12.5483948661317,NOT
FLNC,0.288453494909665,6.12674804246622,6.61395459943621,4.40540258378046e-10,6.2986025043456e-09,12.5441261192093,NOT
OVOL2,-0.298624567,5.59211881297246,-6.612107344,4.44958814405419e-10,6.35727427120778e-09,12.5344406874412,NOT
ACOX3,-0.336065357,6.92809236503924,-6.61134982,4.4678336568049e-10,6.378827854567e-09,12.5304693436662,NOT
ZNF658,-0.643617538,4.96656310550902,-6.610101078,4.49807140444741e-10,6.41746046028158e-09,12.5239233626579,NOT
SLC39A7,0.60062459105984,6.50804847538875,6.60635074781674,4.59010021392894e-10,6.54171458957231e-09,12.5042683136545,NOT
CEP76,-0.54265395,6.80321682626083,-6.606288496,4.59164333932235e-10,6.54171458957231e-09,12.5039421138888,NOT
NOM1,-0.282650683,6.22758225864061,-6.60611683,4.59590129433966e-10,6.54316328139133e-09,12.5030425977738,NOT
HOMER1,-0.423623769,7.00594760290257,-6.605349838,4.61497312104594e-10,6.56335737788605e-09,12.4990237803881,NOT
RAB21,-0.301874238,5.8788547185069,-6.605285045,4.61658781285823e-10,6.56335737788605e-09,12.4986842960351,NOT
EFNA5,-0.306425645,6.2003562350966,-6.604666856,4.63202152288253e-10,6.58066506009518e-09,12.4954453868809,NOT
NCOA6,-0.177545055,5.89026922846444,-6.602758479,4.67998718624033e-10,6.64413370716033e-09,12.4854478629805,NOT
PLEKHO2,0.368932918723862,7.46691111088231,6.60184799016891,4.70304359386499e-10,6.67217456591331e-09,12.4806786400048,NOT
HDDC2,-0.29217931,7.34847188709554,-6.59984613,4.75413079547209e-10,6.7399152035808e-09,12.470194089724,NOT
MICALCL,-0.534205218,4.98109133552697,-6.599319324,4.76766537058108e-10,6.75155786901458e-09,12.467435304052,NOT
TNFRSF11A,-0.445082868,4.99161986750152,-6.599266218,4.76903186111293e-10,6.75155786901458e-09,12.4671572047603,NOT
KYNU,0.507983084092351,6.87425285727008,6.59880905676932,4.78081116811277e-10,6.76349095037566e-09,12.4647632585852,NOT
FCER1A,-0.364244785,5.70160347827463,-6.597425288,4.81664045766425e-10,6.80940739210966e-09,12.4575176846588,NOT
NT5DC1,-0.303991718,5.70329735399679,-6.596202639,4.84851779435522e-10,6.84967650332003e-09,12.4511165036701,NOT
LOXL3,0.285890264481401,5.92321240135829,6.59496864801206,4.880901366875e-10,6.89060397164143e-09,12.4446566593088,NOT
APLF,-0.27182209,4.11680487935793,-6.594403762,4.8957966011289e-10,6.9068023608379e-09,12.4416997637647,NOT
IMPACT,-0.397968521,6.22503751891313,-6.59324374,4.92652510926485e-10,6.94529950459769e-09,12.4356281067228,NOT
CHI3L2,0.648487653495083,6.07558001049748,6.59100944967578,4.98624641457442e-10,7.02458776116039e-09,12.4239354290295,NOT
TNS2,0.464162891112171,6.87010785333987,6.59027016658775,5.00616348575701e-10,7.04772862276587e-09,12.4200670692215,NOT
C1orf21,-0.272867028,6.03447390432783,-6.58899286,5.04076017075109e-10,7.09073717376828e-09,12.4133840640809,NOT
ZNF440,-0.261786201,4.26320941145626,-6.588883316,5.04373815213555e-10,7.09073717376828e-09,12.4128109583339,NOT
FCF1,-0.335594981,4.76702648020166,-6.586827322,5.09995359165928e-10,7.16477822605549e-09,12.4020555092582,NOT
HEATR1,-0.237922009,5.76351058692231,-6.585627585,5.13304151509961e-10,7.20624771257517e-09,12.3957802889274,NOT
RUFY3,-0.319374929,6.81648365554267,-6.58545807,5.13773361444908e-10,7.20782253012496e-09,12.3948936983262,NOT
TPD52L1,-0.316069016,9.16197194263338,-6.584072778,5.17623648635697e-10,7.25679598517879e-09,12.3876488955952,NOT
EZH2,-0.47058282,6.89190552160543,-6.583883496,5.18151941809704e-10,7.25916127776148e-09,12.3866590560324,NOT
CCDC88A,0.368779809052958,5.03580122753818,6.58305279503294,5.2047673424007e-10,7.28667427936097e-09,12.3823151657732,NOT
CDS1,-0.342843536,7.18881405674662,-6.582593929,5.21765310698087e-10,7.29965217766665e-09,12.3799158105114,NOT
TSPAN33,0.337025741325337,6.79724281849706,6.58220571522782,5.22857935730745e-10,7.30987258070103e-09,12.3778859632714,NOT
PLA1A,0.644744028638525,4.91641337820824,6.58196475317118,5.23537253745706e-10,7.31430455267703e-09,12.3766260853757,NOT
RDH10,0.319715326397546,6.28452738516886,6.58127224771587,5.25494397861553e-10,7.33657047304912e-09,12.3730054514248,NOT
MYCBP2,-0.384234056,10.015314478109,-6.580690947,5.27142816223582e-10,7.35449839248215e-09,12.3699664039599,NOT
COIL,-0.284014805,6.94970992919056,-6.579569612,5.30337019846733e-10,7.39395287062559e-09,12.3641045063801,NOT
GNL2,-0.477126366,7.75436747772695,-6.57863339,5.33018500123439e-10,7.42620944133333e-09,12.3592107649405,NOT
TYK2,0.355529536594656,8.13812484641389,6.57835276331458,5.33824852610336e-10,7.43231456861894e-09,12.3577439784308,NOT
FBLN5,0.516943512948541,7.21267265305669,6.57670096033162,5.3859553375124e-10,7.49356763292215e-09,12.349111043465,NOT
XPA,-0.354904048,7.31652993316518,-6.576139719,5.40226022959947e-10,7.51107641288941e-09,12.3461780823027,NOT
FBN1,0.565249416841057,7.39519986088923,6.57425017424875,5.45751218052361e-10,7.58267418447424e-09,12.3363047121082,NOT
PTPRCAP,0.617057632427935,6.70916369673728,6.5736247364133,5.47592274870195e-10,7.60302121394739e-09,12.3330370074925,NOT
UBE2E3,-0.272929345,10.0060899102165,-6.572840089,5.49910630828938e-10,7.62996275957017e-09,12.3289377496579,NOT
DCAF10,-0.284316276,6.41594521803399,-6.572664719,5.50430108292927e-10,7.63192515536923e-09,12.3280215954759,NOT
MSRB1,0.337155774078749,7.97200154452768,6.57111441149551,5.55043436973822e-10,7.69060872040324e-09,12.3199232640968,NOT
GPR160,0.712905827499075,6.48872535718204,6.5708504521373,5.5583269635324e-10,7.69222766786423e-09,12.3185445347342,NOT
RWDD1,-0.262495325,6.88780282238695,-6.570820496,5.55922338389831e-10,7.69222766786423e-09,12.3183880661691,NOT
MLIP,-0.575010944,5.17124244852676,-6.568191177,5.63846010525504e-10,7.79652278115676e-09,12.3046562840573,NOT
LEO1,-0.472767176,7.06609259649218,-6.56781484,5.64989187352915e-10,7.80698269286835e-09,12.3026911109665,NOT
RELT,0.341961412732179,6.57236197002126,6.563364192,5.78682883157379e-10,7.99073190504868e-09,12.2794556127096,NOT
S1PR1,0.415290569709507,7.05066021039434,6.5626592049048,5.80881735973579e-10,8.01561208874547e-09,12.2757759527519,NOT
SAMSN1,0.600223794436676,5.56159455409139,6.56241680176349,5.81639688902688e-10,8.02058882484117e-09,12.2745107906642,NOT
GPR155,-0.308845798,5.84933249150398,-6.561840871,5.83444432131444e-10,8.03998375144682e-09,12.271504974944,NOT
JTB,0.213576414615474,10.6037319909996,6.56114491868519,5.85632626949427e-10,8.06463265542636e-09,12.267872976027,NOT
OSBPL2,-0.258991564,7.5882411509591,-6.55763146,5.96803455702535e-10,8.21286173396236e-09,12.249540632101,NOT
LINC00592,-0.599881519,6.15339275334094,-6.556141775,6.01602872997576e-10,8.27326893738083e-09,12.2417696099902,NOT
SEPT9,0.374106838689122,7.31989847852038,6.55371366925636,6.09507191940776e-10,8.3762635744727e-09,12.2291055269981,NOT
CUEDC2,0.24200607256688,8.17806504329853,6.55354553864222,6.10058282298942e-10,8.37813374357214e-09,12.2282287253326,NOT
LNPK,-0.366380081,6.60441979735897,-6.550023575,6.21715769791152e-10,8.53242553402024e-09,12.209864774704,NOT
MRPS9,-0.392333931,7.13265455497171,-6.549762725,6.22587832747235e-10,8.53858910835678e-09,12.2085049081946,NOT
SCIN,-0.476349202,4.9235428982608,-6.549538624,6.23338001507778e-10,8.54307370973458e-09,12.2073366442226,NOT
JARID2,-0.22820151,7.15114426382884,-6.549204797,6.2445712107863e-10,8.5526054004989e-09,12.2055964136094,NOT
WARS,0.502905942022484,8.26074759699184,6.54863143437753,6.26383873948159e-10,8.57317806594267e-09,12.2026076150282,NOT
MAMDC2,-1.04768897,5.70956452546498,-6.548161018,6.27969049633076e-10,8.58905093088925e-09,12.200155566641,Down
MBNL3,-0.269722643,6.11043579271191,-6.546844409,6.32426679352683e-10,8.6410906421483e-09,12.1932932952375,NOT
HPF1,-0.198612119,5.90007392899031,-6.54678461,6.3262987760527e-10,8.6410906421483e-09,12.192981637871,NOT
CCNT2,-0.318086363,6.01846751449765,-6.546213741,6.34572939642802e-10,8.66177045673352e-09,12.1900064973115,NOT
POLR3B,-0.240945742,4.76738080724718,-6.545766389,6.36099687833781e-10,8.67674357972187e-09,12.187675190991,NOT
LANCL3,-0.597807406,4.71710354281536,-6.545361604,6.37484278806326e-10,8.68975869044031e-09,12.1855657933485,NOT
DLX3,-0.647430965,6.67008979499994,-6.5444281,6.40688697229446e-10,8.72754616711744e-09,12.1807014606774,NOT
NKAPD1,-0.207914101,5.30776760149421,-6.543374168,6.4432555682578e-10,8.77116948159059e-09,12.1752100978604,NOT
ING5,-0.138162878,5.23860738479163,-6.543071392,6.45374112402298e-10,8.77952330268032e-09,12.1736326256228,NOT
IL32,0.613527211018588,6.89850589166376,6.5419253562644,6.49358224220267e-10,8.82777362327188e-09,12.1676621363708,NOT
FAM3B,-0.698778704,7.80589003318266,-6.539405254,6.58204488888521e-10,8.94201360813019e-09,12.1545354032695,NOT
STXBP3,-0.458020276,6.11656057485682,-6.536836706,6.67342814889675e-10,9.06006506186467e-09,12.141159447849,NOT
ASS1,0.594122833162163,9.22507326735302,6.53497002674787,6.74062256955487e-10,9.14514035175899e-09,12.1314405261154,NOT
SMIM3,0.438938360169068,7.71772103488174,6.53384724077729,6.78135939456531e-10,9.19106355777951e-09,12.1255955098628,NOT
ELOVL7,-0.507425487,8.07589338727731,-6.533786317,6.78357672929041e-10,9.19106355777951e-09,12.1252783708517,NOT
SUSD4,-0.491854418,7.07780423109325,-6.533273024,6.80228661007642e-10,9.2102321988077e-09,12.1226064750355,NOT
IRF8,0.513008947977933,7.7633899655943,6.5326732364776,6.82421356690676e-10,9.23372811586553e-09,12.1194845063989,NOT
RFC5,-0.385234365,6.65014049814109,-6.531153183,6.88009544712693e-10,9.30310561866032e-09,12.1115732065597,NOT
CTH,0.535971813085364,4.08060165502752,6.53043796030585,6.90654477206199e-10,9.33261886602326e-09,12.1078511278139,NOT
EPS15L1,-0.193065964,5.44808360847902,-6.529262393,6.95023539691396e-10,9.385374728622e-09,12.1017339097735,NOT
MTPAP,-0.298129206,7.40760114494558,-6.528349842,6.98433823123692e-10,9.42512167193923e-09,12.0969857893056,NOT
PIGA,-0.486036586,6.71419801210563,-6.527706837,7.00846670982405e-10,9.45136445811142e-09,12.0936403913943,NOT
SLC15A1,-0.327090261,4.20397956161677,-6.523761402,7.15832305898971e-10,9.64701107575997e-09,12.073117594686,NOT
RAB14,-0.208340508,7.33824046882008,-6.520789468,7.27328103879731e-10,9.79539677193062e-09,12.057663556771,NOT
IGFBP4,0.829101897272518,8.89105961051181,6.51579118459268,7.4707300314725e-10,1.00546065250245e-08,12.0316820795323,NOT
ARMCX3,0.514685430283775,7.49684725506572,6.51520442083866,7.49425223651873e-10,1.00795445803358e-08,12.0286328227496,NOT
NUP54,-0.2093068,4.94202079535329,-6.509959391,7.7077777210733e-10,1.0359828004862e-08,12.0013831423811,NOT
NUP153,-0.263720342,6.00136762988967,-6.509401975,7.7308189392945e-10,1.0383883748934e-08,11.9984879622804,NOT
BACH2,-0.331771106,5.12918074706234,-6.509188097,7.73967772842643e-10,1.03888706104703e-08,11.9973771341711,NOT
AQP9,0.688491818497091,6.38201495546811,6.50793874268086,7.791625721791e-10,1.04516505030908e-08,11.9908887372235,NOT
MIPEPP3,-0.256557991,4.59165462449942,-6.506689411,7.84391571475514e-10,1.05148054747328e-08,11.9844012106824,NOT
SLMAP,-0.259221609,5.8544619111335,-6.506109496,7.86830483449755e-10,1.05405001989938e-08,11.9813900873529,NOT
CST7,0.485619876462499,6.44986495842616,6.50543298436287,7.89685074962942e-10,1.05717256587214e-08,11.9778776039244,NOT
IVNS1ABP,-0.343993235,7.50763244287636,-6.502877225,8.00561529748264e-10,1.07102293986467e-08,11.9646099601797,NOT
POP7,-0.260446509,7.61272456774646,-6.499703582,8.14272771388671e-10,1.08864494760228e-08,11.9481390958501,NOT
CCND1,-0.457825819,7.27977294186209,-6.499479501,8.15249560288813e-10,1.08882273724815e-08,11.9469763269126,NOT
EBPL,-0.320390362,10.1341219728977,-6.499425659,8.15484435664357e-10,1.08882273724815e-08,11.9466969393977,NOT
CBLL1,-0.33040711,6.20343988697384,-6.499262068,8.16198473649602e-10,1.08884261795948e-08,11.9458480757377,NOT
RANBP9,-0.362277653,7.7811985652484,-6.499175167,8.16578028329034e-10,1.08884261795948e-08,11.9453971555575,NOT
LIG3,-0.183799478,5.62593661027695,-6.493527313,8.41621866584865e-10,1.12149585759837e-08,11.9160988807926,NOT
RCN1,0.363184917477256,8.18140788717341,6.4926248149334,8.45693146094018e-10,1.12617765391465e-08,11.9114185930198,NOT
CYFIP1,-0.301473012,10.059760681831,-6.49234581,8.46955688619953e-10,1.12711545430848e-08,11.9099717722294,NOT
FER1L4,0.455355129218821,5.48012454289778,6.492122308,8.47968405290739e-10,1.12771977378191e-08,11.9088128010119,NOT
TBC1D1,0.178264195684763,4.66086105491579,6.49152248318094,8.50692185267848e-10,1.13013952304041e-08,11.9057025197516,NOT
ZBED6,-0.295140778,4.49323491195118,-6.491475146,8.50907506945424e-10,1.13013952304041e-08,11.9054570695227,NOT
KDM2B,-0.318276119,8.27347230582376,-6.490386846,8.55872659224099e-10,1.13598666958686e-08,11.8998143573949,NOT
NDUFAF6,-0.272079415,5.97353874300018,-6.490000593,8.57641701818847e-10,1.13758677242568e-08,11.8978118203288,NOT
GCFC2,-0.289501063,5.85304791123828,-6.488155567,8.66141699933715e-10,1.14810693619579e-08,11.8882472212027,NOT
ZXDC,-0.184572102,6.03235407704777,-6.487716804,8.68175233447689e-10,1.15004734992401e-08,11.8859729231985,NOT
CYP39A1,-0.50434242,5.17373346203528,-6.487078205,8.71143344338334e-10,1.15322241544277e-08,11.8826629507372,NOT
PTTG1IP,0.273507804578899,9.96346368170702,6.48592019725375,8.76551064247753e-10,1.15904640045028e-08,11.8766612984093,NOT
SELENOS,0.475171197054616,9.87427696054074,6.48583756663149,8.76938196379391e-10,1.15904640045028e-08,11.8762330701352,NOT
CERCAM,0.336558833164558,6.46255575277508,6.48576780703739,8.77265157463856e-10,1.15904640045028e-08,11.8758715477713,NOT
SMARCE1,-0.274041912,7.25974212935558,-6.485507802,8.78484850599754e-10,1.15989876807769e-08,11.8745241165751,NOT
MSH3,-0.189972553,5.52494160595077,-6.484059292,8.85310452116491e-10,1.16814688936782e-08,11.8670180669134,NOT
ITPR2,-0.376744606,6.37555669238154,-6.482044994,8.9488890753618e-10,1.18001419107383e-08,11.856581845869,NOT
NES,0.320191313031917,5.36746302706022,6.48041651761149,9.02707138963064e-10,1.18954645700955e-08,11.8481460340134,NOT
UTP3,-0.298537522,8.00442658554034,-6.479787493,9.05745006462289e-10,1.19264827839011e-08,11.8448879134656,NOT
MCMBP,-0.227307641,6.40460419038998,-6.479684669,9.06242549559357e-10,1.19264827839011e-08,11.8443553399904,NOT
MSI2,0.23413132591522,5.67932282352941,6.47820095119821,9.13451931220921e-10,1.20135293729563e-08,11.8366710477468,NOT
RPF2,-0.305640006,8.5054897734067,-6.474865593,9.29864987345913e-10,1.22175623840155e-08,11.8194008620281,NOT
C3orf18,0.317973365702365,6.46512263860186,6.47477051224441,9.30337098131723e-10,1.22175623840155e-08,11.8189086234686,NOT
TSPAN32,0.295350777842989,5.86708921659052,6.47468111518034,9.3078120401307e-10,1.22175623840155e-08,11.8184458119598,NOT
NFKBIE,0.344156745187679,6.14887298855271,6.47266992277067,9.40827678167021e-10,1.23414094651305e-08,11.8080348290812,NOT
MARVELD2,-0.364468544,5.58628846438871,-6.47185472,9.44930154135646e-10,1.23871752933055e-08,11.8038154719677,NOT
JAK3,0.277901036021264,5.00413255793247,6.46887713130033,9.60064784503218e-10,1.25774093897151e-08,11.7884067051095,NOT
EGLN1,-0.212833615,6.07054610119197,-6.466748361,9.71030894630461e-10,1.27128221146561e-08,11.7773931412991,NOT
TBXAS1,0.335429880778747,4.90162791464308,6.46547148719125,9.77667565384074e-10,1.27914146532558e-08,11.7707880708223,NOT
CBFA2T3,0.428115792553588,5.4903219767576,6.46028460390429,1.00508857754614e-09,1.31416633442367e-08,11.7439652813149,NOT
C2orf76,-0.482995079,5.8924231172923,-6.458241275,1.01609729829226e-09,1.32770046976855e-08,11.7334022656097,NOT
HPSE,-0.475002964,7.20778576917524,-6.455067752,1.03343060465026e-09,1.34947587624058e-08,11.7170007332217,NOT
RABAC1,0.630000075882716,9.33079550842257,6.45446736976567,1.03674235727528e-09,1.35261499774045e-08,11.7138983646829,NOT
DUOXA1,-0.34793326,7.838493196,-6.454389154,1.03717456731831e-09,1.35261499774045e-08,11.7134942129802,NOT
GZMK,0.767957414486105,6.80392916005155,6.45300579939415,1.04484817642911e-09,1.36174273632995e-08,11.7063466952229,NOT
CDKN2B,-0.497577127,6.65348825235953,-6.451450089,1.05354456597506e-09,1.37219081921965e-08,11.6983097672304,NOT
LINC01137,-0.319794374,5.17312011433333,-6.44994895,1.06200336131683e-09,1.38231617396932e-08,11.6905558796292,NOT
SRPRB,0.308005918898275,7.43743875426842,6.44950141092293,1.06453810853224e-09,1.38472263756758e-08,11.6882443998923,NOT
P2RY10,0.373614617680178,4.7299463006646,6.44802165746957,1.07296147334435e-09,1.3947808257486e-08,11.6806023744232,NOT
BEST1,0.249173101222796,5.7286552067866,6.44773141784576,1.07462130816868e-09,1.39594555749829e-08,11.6791035889422,NOT
COMMD3,0.25679443876882,9.0858480977149,6.44762327403326,1.07524041109067e-09,1.39594555749829e-08,11.6785451492624,NOT
ARF4,0.276106325288315,10.3674292473913,6.44651876163001,1.08158365408095e-09,1.40266753016742e-08,11.6728419271936,NOT
L3MBTL2,0.238247786978683,7.12119922638206,6.44647986983103,1.08180768004293e-09,1.40266753016742e-08,11.6726411177059,NOT
