"variable","permutation","dropout_loss","label"
"ADRB2",6,0.167487684729064,"RF"
"AKT1",6,0.168308702791461,"RF"
"AGT",6,0.152709359605911,"RF"
"NR3C1",6,0.171592775041051,"RF"
"CCR7",6,0.163382594417077,"RF"
"HMGCR",6,0.146141215106732,"RF"
"GHRL",6,0.160919540229885,"RF"
"CXCR4",6,0.14696223316913,"RF"
"ARRB2",6,0.173234811165846,"RF"
"TGFB1",6,0.167487684729064,"RF"
"C3",6,0.171592775041051,"RF"
"APOE",6,0.155993431855501,"RF"
"FOS",6,0.165845648604269,"RF"
"ESR2",6,0.171592775041051,"RF"
"CD36",6,0.157635467980295,"RF"
"ESR1",6,0.16256157635468,"RF"
"NOS1",6,0.155993431855501,"RF"
"IGF1",6,0.163382594417077,"RF"
"FURIN",6,0.163382594417077,"RF"
"SOX9",6,0.176518883415435,"RF"
"NOTCH2",6,0.165024630541872,"RF"
"DNMT3A",6,0.166666666666667,"RF"
"NRP1",6,0.164203612479474,"RF"
"CSF2",6,0.169129720853859,"RF"
"DNMT3B",6,0.165024630541872,"RF"
"PTGS1",6,0.167487684729064,"RF"
"CHUK",6,0.165024630541872,"RF"
"CD40",6,0.169129720853859,"RF"
"BRCA1",6,0.163382594417077,"RF"
"CYP3A4",6,0.169950738916256,"RF"
"CYP27A1",6,0.165024630541872,"RF"
"Type",6,0.164203612479474,"RF"
"_baseline_",6,0.474548440065681,"RF"
"_full_model_",7,0.164203612479474,"RF"
"IL1B",7,0.163382594417077,"RF"
"BCHE",7,0.165845648604269,"RF"
"PTGS2",7,0.154351395730706,"RF"
"IL6",7,0.155993431855501,"RF"
"INS",7,0.164203612479474,"RF"
"XDH",7,0.167487684729064,"RF"
"EPHX2",7,0.180623973727422,"RF"
"SLC6A4",7,0.164203612479474,"RF"
"GSR",7,0.166666666666667,"RF"
"NQO1",7,0.169129720853859,"RF"
"ADRB2",7,0.166666666666667,"RF"
"AKT1",7,0.16256157635468,"RF"
"AGT",7,0.166666666666667,"RF"
"NR3C1",7,0.173234811165846,"RF"
"CCR7",7,0.17816091954023,"RF"
"HMGCR",7,0.177339901477833,"RF"
"GHRL",7,0.157635467980295,"RF"
"CXCR4",7,0.168308702791461,"RF"
"ARRB2",7,0.156814449917898,"RF"
"TGFB1",7,0.168308702791461,"RF"
"C3",7,0.15927750410509,"RF"
"APOE",7,0.163382594417077,"RF"
"FOS",7,0.187192118226601,"RF"
"ESR2",7,0.173234811165846,"RF"
"CD36",7,0.147783251231527,"RF"
"ESR1",7,0.172413793103448,"RF"
"NOS1",7,0.157635467980295,"RF"
"IGF1",7,0.164203612479474,"RF"
"FURIN",7,0.166666666666667,"RF"
"SOX9",7,0.171592775041051,"RF"
"NOTCH2",7,0.160098522167488,"RF"
"DNMT3A",7,0.173234811165846,"RF"
"NRP1",7,0.165024630541872,"RF"
"CSF2",7,0.165845648604269,"RF"
"DNMT3B",7,0.167487684729064,"RF"
"PTGS1",7,0.169129720853859,"RF"
"CHUK",7,0.166666666666667,"RF"
"CD40",7,0.154351395730706,"RF"
"BRCA1",7,0.163382594417077,"RF"
"CYP3A4",7,0.168308702791461,"RF"
"CYP27A1",7,0.16256157635468,"RF"
"Type",7,0.164203612479474,"RF"
"_baseline_",7,0.395730706075534,"RF"
"_full_model_",8,0.164203612479474,"RF"
"IL1B",8,0.173234811165846,"RF"
"BCHE",8,0.165845648604269,"RF"
"PTGS2",8,0.165845648604269,"RF"
"IL6",8,0.164203612479474,"RF"
"INS",8,0.174055829228243,"RF"
"XDH",8,0.180623973727422,"RF"
"EPHX2",8,0.168308702791461,"RF"
"SLC6A4",8,0.166666666666667,"RF"
"GSR",8,0.165024630541872,"RF"
"NQO1",8,0.171592775041051,"RF"
"ADRB2",8,0.16256157635468,"RF"
"AKT1",8,0.164203612479474,"RF"
"AGT",8,0.155993431855501,"RF"
"NR3C1",8,0.169950738916256,"RF"
"CCR7",8,0.167487684729064,"RF"
"HMGCR",8,0.173234811165846,"RF"
