"variable","dropout_loss","Rank","Model"
"DNMT3B",0.129720853858785,31,"LASSO"
"PTGS1",0.129720853858785,32,"LASSO"
"CHUK",0.129720853858785,33,"LASSO"
"BRCA1",0.129720853858785,34,"LASSO"
"CYP3A4",0.129720853858785,35,"LASSO"
"CYP27A1",0.129720853858785,36,"LASSO"
"ADRB2",0.129556650246305,37,"LASSO"
"HMGCR",0.128735632183908,38,"LASSO"
"SOX9",0.128735632183908,39,"LASSO"
"INS",0.128407224958949,40,"LASSO"
"ESR1",0.125779967159277,41,"LASSO"
"CXCR4",0.475369458128079,1,"DT"
"IL1B",0.22495894909688,2,"DT"
"BCHE",0.22495894909688,3,"DT"
"PTGS2",0.22495894909688,4,"DT"
"IL6",0.22495894909688,5,"DT"
"INS",0.22495894909688,6,"DT"
"XDH",0.22495894909688,7,"DT"
"EPHX2",0.22495894909688,8,"DT"
"SLC6A4",0.22495894909688,9,"DT"
"GSR",0.22495894909688,10,"DT"
"NQO1",0.22495894909688,11,"DT"
"ADRB2",0.22495894909688,12,"DT"
"AKT1",0.22495894909688,13,"DT"
"AGT",0.22495894909688,14,"DT"
"NR3C1",0.22495894909688,15,"DT"
"CCR7",0.22495894909688,16,"DT"
"HMGCR",0.22495894909688,17,"DT"
"GHRL",0.22495894909688,18,"DT"
"ARRB2",0.22495894909688,19,"DT"
"TGFB1",0.22495894909688,20,"DT"
"C3",0.22495894909688,21,"DT"
"APOE",0.22495894909688,22,"DT"
"FOS",0.22495894909688,23,"DT"
"ESR2",0.22495894909688,24,"DT"
"CD36",0.22495894909688,25,"DT"
"ESR1",0.22495894909688,26,"DT"
"NOS1",0.22495894909688,27,"DT"
"IGF1",0.22495894909688,28,"DT"
"FURIN",0.22495894909688,29,"DT"
"SOX9",0.22495894909688,30,"DT"
"NOTCH2",0.22495894909688,31,"DT"
"DNMT3A",0.22495894909688,32,"DT"
"NRP1",0.22495894909688,33,"DT"
"CSF2",0.22495894909688,34,"DT"
"DNMT3B",0.22495894909688,35,"DT"
"PTGS1",0.22495894909688,36,"DT"
"CHUK",0.22495894909688,37,"DT"
"CD40",0.22495894909688,38,"DT"
"BRCA1",0.22495894909688,39,"DT"
"CYP3A4",0.22495894909688,40,"DT"
"CYP27A1",0.22495894909688,41,"DT"
