"sample","dataset","group","state_final","n_cells","C3_avg","C3_pct","AGT_avg","AGT_pct"
"GSM5005058","GSE164241","PD","Activated_Fib",142,0.476423679331239,26.7605633802817,0,0
"GSM5005058","GSE164241","PD","Adventitial_Fib",4,0,0,0,0
"GSM5005058","GSE164241","PD","ECM_Fib",22,0,0,0,0
"GSM5005058","GSE164241","PD","Inflammatory_Fib",26,0.335602476846309,19.2307692307692,0,0
"GSM5005059","GSE164241","PD","Activated_Fib",423,0.780874384508604,61.2293144208038,0.0136877747989628,1.41843971631206
"GSM5005059","GSE164241","PD","ECM_Fib",3,2.04538525619014,100,0,0
"GSM5005059","GSE164241","PD","PI16_Fib",1,0,0,0,0
"GSM5005060","GSE164241","PD","Activated_Fib",71,0.8889599486688,70.4225352112676,0.00639214369436805,1.40845070422535
"GSM5005060","GSE164241","PD","Adventitial_Fib",7,1.52787026476967,85.7142857142857,0.113668956856002,14.2857142857143
"GSM5005060","GSE164241","PD","ECM_Fib",4,0.905164977519402,50,0,0
"GSM5005060","GSE164241","PD","Inflammatory_Fib",8,0.682011254712139,37.5,0,0
"GSM5005061","GSE164241","PD","Activated_Fib",983,1.12368294396801,70.7019328585961,0.0063169281152401,0.712105798575788
"GSM5005061","GSE164241","PD","Adventitial_Fib",13,1.43219891798669,69.2307692307692,0.0972967410524448,7.69230769230769
"GSM5005061","GSE164241","PD","ECM_Fib",80,0.70783468733733,41.25,0,0
"GSM5005061","GSE164241","PD","Inflammatory_Fib",11,0.597024299592193,36.3636363636364,0,0
"GSM5005062","GSE164241","PD","Activated_Fib",623,1.02343355951115,70.9470304975923,0.0363688999942412,2.72873194221509
"GSM5005062","GSE164241","PD","ECM_Fib",46,0.597391720289188,34.7826086956522,0.0980274162402729,6.52173913043478
"GSM5177039","GSE164241","NC","Activated_Fib",570,0.527291235415511,48.9473684210526,0.0191640922734148,2.28070175438596
"GSM5177039","GSE164241","NC","Adventitial_Fib",102,0.477617282458333,32.3529411764706,0.0133090588237409,0.980392156862745
"GSM5177039","GSE164241","NC","ECM_Fib",169,0.0610210255413036,4.14201183431953,0.0100102538020727,1.18343195266272
"GSM5177039","GSE164241","NC","Inflammatory_Fib",5,0.922480583636555,60,0,0
"GSM5177039","GSE164241","NC","PI16_Fib",2,1.38136663831097,50,0,0
"GSM5177040","GSE164241","NC","Activated_Fib",38,0.380538264122127,26.3157894736842,0,0
"GSM5177040","GSE164241","NC","Adventitial_Fib",50,0.462326310889738,40,0.0300076951068664,4
"GSM5177040","GSE164241","NC","ECM_Fib",33,0.356457557640093,30.3030303030303,0,0
"GSM5177040","GSE164241","NC","Inflammatory_Fib",2,0.710194724601626,50,0.710194724601626,50
"GSM5177040","GSE164241","NC","PI16_Fib",21,0.683171073987752,47.6190476190476,0,0
"GSM5177041","GSE164241","NC","Activated_Fib",157,1.00768175878803,71.3375796178344,0,0
"GSM5177041","GSE164241","NC","Adventitial_Fib",61,1.25011029301744,70.4918032786885,0,0
"GSM5177041","GSE164241","NC","ECM_Fib",25,0.956844285750462,44,0,0
"GSM5177041","GSE164241","NC","PI16_Fib",97,1.54903095750714,68.0412371134021,0.0324218182909959,1.03092783505155
"GSM5177042","GSE164241","PD","Activated_Fib",358,0.816113922705802,50.2793296089386,0.0178433861429313,1.39664804469274
"GSM5177042","GSE164241","PD","Adventitial_Fib",7,0.26184536310308,14.2857142857143,0.344917362783479,14.2857142857143
"GSM5177042","GSE164241","PD","ECM_Fib",64,0.663308724053363,39.0625,0.0456634123945562,3.125
