"replicate","fold","model","n","auc"
15,2,"Three_gene",26,0.866666666666667
15,2,"Alt4_EPHX2",26,0.866666666666667
15,3,"Locked4_C3",24,0.9
15,3,"Three_gene",24,0.9
15,3,"Alt4_EPHX2",24,0.914285714285714
15,4,"Locked4_C3",23,0.846153846153846
15,4,"Three_gene",23,0.876923076923077
15,4,"Alt4_EPHX2",23,0.869230769230769
15,5,"Locked4_C3",21,0.944444444444444
15,5,"Three_gene",21,0.935185185185185
15,5,"Alt4_EPHX2",21,0.935185185185185
16,1,"Locked4_C3",26,0.890909090909091
16,1,"Three_gene",26,0.884848484848485
16,1,"Alt4_EPHX2",26,0.878787878787879
16,2,"Locked4_C3",26,0.939393939393939
16,2,"Three_gene",26,0.933333333333333
16,2,"Alt4_EPHX2",26,0.933333333333333
16,3,"Locked4_C3",24,0.935714285714286
16,3,"Three_gene",24,0.914285714285714
16,3,"Alt4_EPHX2",24,0.9
16,4,"Locked4_C3",23,0.815384615384615
16,4,"Three_gene",23,0.815384615384615
16,4,"Alt4_EPHX2",23,0.823076923076923
16,5,"Locked4_C3",21,0.935185185185185
16,5,"Three_gene",21,0.935185185185185
16,5,"Alt4_EPHX2",21,0.935185185185185
17,1,"Locked4_C3",26,0.896969696969697
17,1,"Three_gene",26,0.896969696969697
17,1,"Alt4_EPHX2",26,0.896969696969697
17,2,"Locked4_C3",26,0.957575757575758
17,2,"Three_gene",26,0.957575757575758
17,2,"Alt4_EPHX2",26,0.957575757575758
17,3,"Locked4_C3",24,0.8
17,3,"Three_gene",24,0.821428571428571
17,3,"Alt4_EPHX2",24,0.821428571428571
17,4,"Locked4_C3",23,0.892307692307692
17,4,"Three_gene",23,0.884615384615385
17,4,"Alt4_EPHX2",23,0.884615384615385
17,5,"Locked4_C3",21,0.962962962962963
17,5,"Three_gene",21,0.962962962962963
17,5,"Alt4_EPHX2",21,0.962962962962963
18,1,"Locked4_C3",26,0.836363636363636
18,1,"Three_gene",26,0.83030303030303
18,1,"Alt4_EPHX2",26,0.836363636363636
18,2,"Locked4_C3",26,0.927272727272727
18,2,"Three_gene",26,0.933333333333333
18,2,"Alt4_EPHX2",26,0.921212121212121
18,3,"Locked4_C3",24,0.721428571428571
18,3,"Three_gene",24,0.721428571428571
18,3,"Alt4_EPHX2",24,0.721428571428571
18,4,"Locked4_C3",23,0.992307692307692
18,4,"Three_gene",23,0.992307692307692
18,4,"Alt4_EPHX2",23,0.992307692307692
18,5,"Locked4_C3",21,0.962962962962963
18,5,"Three_gene",21,0.962962962962963
18,5,"Alt4_EPHX2",21,0.962962962962963
19,1,"Locked4_C3",26,0.860606060606061
19,1,"Three_gene",26,0.860606060606061
19,1,"Alt4_EPHX2",26,0.860606060606061
19,2,"Locked4_C3",26,0.981818181818182
19,2,"Three_gene",26,0.96969696969697
19,2,"Alt4_EPHX2",26,0.96969696969697
19,3,"Locked4_C3",24,0.864285714285714
19,3,"Three_gene",24,0.892857142857143
19,3,"Alt4_EPHX2",24,0.892857142857143
19,4,"Locked4_C3",23,0.969230769230769
19,4,"Three_gene",23,0.961538461538462
19,4,"Alt4_EPHX2",23,0.969230769230769
19,5,"Locked4_C3",21,0.796296296296296
19,5,"Three_gene",21,0.796296296296296
19,5,"Alt4_EPHX2",21,0.777777777777778
20,1,"Locked4_C3",26,0.945454545454545
20,1,"Three_gene",26,0.957575757575758
20,1,"Alt4_EPHX2",26,0.957575757575758
20,2,"Locked4_C3",26,0.96969696969697
20,2,"Three_gene",26,0.963636363636364
20,2,"Alt4_EPHX2",26,0.96969696969697
20,3,"Locked4_C3",24,0.9
20,3,"Three_gene",24,0.907142857142857
20,3,"Alt4_EPHX2",24,0.907142857142857
20,4,"Locked4_C3",23,0.846153846153846
20,4,"Three_gene",23,0.869230769230769
20,4,"Alt4_EPHX2",23,0.869230769230769
20,5,"Locked4_C3",21,0.842592592592593
20,5,"Three_gene",21,0.861111111111111
20,5,"Alt4_EPHX2",21,0.842592592592593
