"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","pct_gap"
8.76144951286543e-12,0.829356502197523,0.522,0.372,4.77428906855063e-07,"1","PYURF",0.15
2.0739862904728e-38,0.809876801032193,0.798,0.645,1.13015660940444e-33,"1","TMED2",0.153
1.93016824442367e-17,0.790262962561715,0.57,0.411,1.05178727975135e-12,"1","C8orf4",0.159
2.37355584777085e-22,0.720578945628857,0.758,0.608,1.29339805256729e-17,"1","HMGN2",0.15
2.71404301654034e-24,0.717508810316496,0.492,0.312,1.47893632057316e-19,"1","RPL17",0.18
5.43551714711011e-29,0.714608195689846,0.739,0.56,2.96192200380324e-24,"1","CCL2",0.179
2.67531628368386e-25,0.701329808084602,0.757,0.572,1.45783334930501e-20,"1","PHLDA1",0.185
6.35130008796971e-21,0.574249921152273,0.65,0.401,3.46095044393645e-16,"1","XIST",0.249
1.00827195873649e-19,0.546251963628574,0.646,0.48,5.49427555754691e-15,"1","TNFAIP6",0.166
4.1466574884864e-44,0.542480145987537,0.526,0.238,2.25959659862601e-39,"1","HBB",0.288
2.22339615417116e-94,1.39395271945237,0.927,0.659,1.21157303233095e-89,"2","IGFBP2",0.268
4.13764744444638e-26,1.11741342314222,0.571,0.405,2.25468684542772e-21,"2","NDUFA13",0.166
2.6763803741513e-48,1.10712561565925,0.669,0.477,1.45841319348253e-43,"2","RPL36A",0.192
3.69534014028509e-48,1.09017367883915,0.685,0.522,2.01366474924415e-43,"2","COL18A1",0.163
8.85000745903007e-42,0.793771531761917,0.889,0.704,4.82254606457467e-37,"2","APCDD1",0.185
1.56383115102754e-59,7.27133676636598,0.239,0.001,8.52162870817929e-55,"3","AC034102.1",0.238
5.17179291915271e-38,7.01506826427232,0.158,0.001,2.8182133975047e-33,"3","TCIM",0.157
1.50934873878529e-79,6.99335965637833,0.311,0.002,8.22474314738882e-75,"3","GAPDHP1",0.309
6.80312856471605e-40,6.96559111149411,0.168,0.005,3.70716081748507e-35,"3","MMP13",0.163
2.97038771039787e-49,6.95148312685614,0.197,0.001,1.61862367115001e-44,"3","PTMAP5",0.196
2.07938072921825e-151,6.91130351663915,0.531,0.005,1.13309614696561e-146,"3","FTH1P20",0.526
4.06504915109458e-40,6.76631710950628,0.165,0.001,2.21512658341446e-35,"3","AP002784.2",0.164
7.3528539469375e-60,6.67202358846894,0.235,0.001,4.00671717276518e-55,"3","SNORD3A",0.234
2.03840053652972e-70,6.61236162855125,0.284,0.002,1.11076522036578e-65,"3","FTH1P8",0.282
3.38920558973999e-132,6.49991138101105,0.481,0.005,1.84684590996111e-127,"3","RPS3AP6",0.476
4.06505035481163e-40,6.47256610690197,0.165,0.001,2.21512723934395e-35,"3","MIR1244-2",0.164
2.02820194211455e-74,6.36139037254235,0.29,0.002,1.10520780229706e-69,"3","AC026403.1",0.288
2.02286990429945e-53,6.33534996790288,0.206,0.002,1.10230226825086e-48,"3","SELENOT",0.204
4.14151126424044e-54,6.30562140009417,0.217,0.002,2.2567923181099e-49,"3","EEF1B2P6",0.215
3.52169113239678e-45,6.29737775127904,0.204,0.001,1.91903993186566e-40,"3","ELOC",0.203
5.53714111227432e-163,6.25573962731112,0.58,0.007,3.01729893490052e-158,"3","AL590867.2",0.573
4.64356836764435e-71,6.22216182923729,0.287,0.003,2.53037327489676e-66,"3","RPS3AP26",0.284
1.04627227042284e-58,6.20459025165121,0.241,0.002,5.70134685598816e-54,"3","TTC3P1",0.239
1.17765452226017e-100,6.19309316522481,0.404,0.003,6.4172750227001e-96,"3","RPS23P8",0.401
2.1047839175257e-115,6.18347816546693,0.43,0.004,1.1469388523381e-110,"3","AC099560.2",0.426
2.19374656134569e-83,6.16477390942801,0.324,0.003,1.19541637620849e-78,"3","AL161909.1",0.321
1.96796289119343e-63,6.14025094523519,0.259,0.003,1.07238233866912e-58,"3","FTH1P11",0.256
9.1719882932311e-108,6.13642599392748,0.407,0.004,4.99799986074749e-103,"3","EEF1A1P5",0.403
1.57282986758179e-47,6.13568597167719,0.194,0.001,8.57066451442669e-43,"3","WASHC4",0.193
1.71143879743997e-159,6.1348125157718,0.556,0.007,9.32597229500991e-155,"3","AC116533.1",0.549
3.36166408350696e-57,6.12118265448756,0.236,0.002,1.83183799238461e-52,"3","RPL7P9",0.234
4.62956655110478e-155,6.10159042525148,0.559,0.006,2.52274340502802e-150,"3","SELENOF",0.553
1.32004821746845e-42,6.09985954638879,0.172,0.001,7.19320674662908e-38,"3","AC084824.1",0.171
1.89674177472344e-99,6.09722439531113,0.383,0.004,1.0335725278823e-94,"3","KIRREL1",0.379
7.7480449834617e-39,6.09656090297562,0.168,0.001,4.22206467238795e-34,"3","CNOT9",0.167
4.65798147453916e-35,2.9303637885085,0.199,0.039,2.53822726510588e-30,"4","TNN",0.16
2.07780245205438e-36,2.49545707992777,0.309,0.092,1.13223611217347e-31,"4","PRSS35",0.217
1.86469432474141e-55,2.35148778234895,0.603,0.335,1.01610923143809e-50,"4","TIMP3",0.268
1.75698755173569e-23,2.26385582921934,0.294,0.133,9.57417656691814e-19,"4","MEF2C",0.161
1.08027890402729e-28,2.05042106985819,0.33,0.162,5.88665580382552e-24,"4","TAGLN",0.168
3.39782496615624e-21,1.95782065530699,0.37,0.218,1.85154278055786e-16,"4","SDC1",0.152
7.33868712195149e-107,1.93594338701059,0.859,0.555,3.99899738649381e-102,"4","ASPN",0.304
1.21843989318976e-22,1.7673791417859,0.314,0.144,6.63952266596962e-18,"4","THSD4",0.17
1.8063196053953e-34,1.76402297377124,0.622,0.468,9.84299679372005e-30,"4","IFI6",0.154
2.10460223938317e-24,1.75979561301009,0.404,0.227,1.14683985228468e-19,"4","COMP",0.177
2.86519860911775e-86,1.71060917710189,0.811,0.594,1.56130402608044e-81,"4","NBL1",0.217
5.59745618297086e-63,1.6912325941029,0.779,0.53,3.05016582322448e-58,"4","CXCL14",0.249
