"sample","state","n","group","dataset","cohort","total_fibro","fraction"
"GSM5220928","ECM_Fib",69,"PD","GSE171213","GSM522_cohort",78,0.884615384615385
"GSM5220928","Inflammatory_Fib",0,"PD","GSE171213","GSM522_cohort",78,0
"GSM5220928","PI16_Fib",3,"PD","GSE171213","GSM522_cohort",78,0.0384615384615385
"GSM5220928","Unassigned_Fib",0,"PD","GSE171213","GSM522_cohort",78,0
"GSM5005048","Activated_Fib",17,"NC","GSE164241","GSM500_cohort",92,0.184782608695652
"GSM5005048","Adventitial_Fib",18,"NC","GSE164241","GSM500_cohort",92,0.195652173913043
"GSM5005048","ECM_Fib",31,"NC","GSE164241","GSM500_cohort",92,0.33695652173913
"GSM5005048","Inflammatory_Fib",26,"NC","GSE164241","GSM500_cohort",92,0.282608695652174
"GSM5005048","PI16_Fib",0,"NC","GSE164241","GSM500_cohort",92,0
"GSM5005048","Unassigned_Fib",0,"NC","GSE164241","GSM500_cohort",92,0
"GSM5005049","Activated_Fib",19,"NC","GSE164241","GSM500_cohort",282,0.0673758865248227
"GSM5005049","Adventitial_Fib",25,"NC","GSE164241","GSM500_cohort",282,0.0886524822695035
"GSM5005049","ECM_Fib",102,"NC","GSE164241","GSM500_cohort",282,0.361702127659574
"GSM5005049","Inflammatory_Fib",135,"NC","GSE164241","GSM500_cohort",282,0.478723404255319
"GSM5005049","PI16_Fib",0,"NC","GSE164241","GSM500_cohort",282,0
"GSM5005049","Unassigned_Fib",1,"NC","GSE164241","GSM500_cohort",282,0.00354609929078014
"GSM5005050","Activated_Fib",19,"NC","GSE164241","GSM500_cohort",209,0.0909090909090909
"GSM5005050","Adventitial_Fib",37,"NC","GSE164241","GSM500_cohort",209,0.177033492822967
"GSM5005050","ECM_Fib",52,"NC","GSE164241","GSM500_cohort",209,0.248803827751196
"GSM5005050","Inflammatory_Fib",101,"NC","GSE164241","GSM500_cohort",209,0.483253588516746
"GSM5005050","PI16_Fib",0,"NC","GSE164241","GSM500_cohort",209,0
"GSM5005050","Unassigned_Fib",0,"NC","GSE164241","GSM500_cohort",209,0
"GSM5005051","Activated_Fib",47,"NC","GSE164241","GSM500_cohort",410,0.114634146341463
"GSM5005051","Adventitial_Fib",27,"NC","GSE164241","GSM500_cohort",410,0.0658536585365854
"GSM5005051","ECM_Fib",213,"NC","GSE164241","GSM500_cohort",410,0.519512195121951
"GSM5005051","Inflammatory_Fib",123,"NC","GSE164241","GSM500_cohort",410,0.3
"GSM5005051","PI16_Fib",0,"NC","GSE164241","GSM500_cohort",410,0
"GSM5005051","Unassigned_Fib",0,"NC","GSE164241","GSM500_cohort",410,0
"GSM5005052","Activated_Fib",302,"NC","GSE164241","GSM500_cohort",2811,0.107435076485237
"GSM5005052","Adventitial_Fib",15,"NC","GSE164241","GSM500_cohort",2811,0.00533617929562433
"GSM5005052","ECM_Fib",130,"NC","GSE164241","GSM500_cohort",2811,0.0462468872287442
"GSM5005052","Inflammatory_Fib",2363,"NC","GSE164241","GSM500_cohort",2811,0.84062611170402
"GSM5005052","PI16_Fib",1,"NC","GSE164241","GSM500_cohort",2811,0.000355745286374956
"GSM5005052","Unassigned_Fib",0,"NC","GSE164241","GSM500_cohort",2811,0
"GSM5005053","Activated_Fib",80,"NC","GSE164241","GSM500_cohort",760,0.105263157894737
"GSM5005053","Adventitial_Fib",43,"NC","GSE164241","GSM500_cohort",760,0.0565789473684211
"GSM5005053","ECM_Fib",608,"NC","GSE164241","GSM500_cohort",760,0.8
"GSM5005053","Inflammatory_Fib",24,"NC","GSE164241","GSM500_cohort",760,0.0315789473684211
"GSM5005053","PI16_Fib",5,"NC","GSE164241","GSM500_cohort",760,0.00657894736842105
"GSM5005053","Unassigned_Fib",0,"NC","GSE164241","GSM500_cohort",760,0
"GSM5005054","Activated_Fib",0,"NC","GSE164241","GSM500_cohort",357,0
"GSM5005054","Adventitial_Fib",1,"NC","GSE164241","GSM500_cohort",357,0.00280112044817927
"GSM5005054","ECM_Fib",4,"NC","GSE164241","GSM500_cohort",357,0.0112044817927171
"GSM5005054","Inflammatory_Fib",0,"NC","GSE164241","GSM500_cohort",357,0
"GSM5005054","PI16_Fib",352,"NC","GSE164241","GSM500_cohort",357,0.985994397759104
"GSM5005054","Unassigned_Fib",0,"NC","GSE164241","GSM500_cohort",357,0
"GSM5005055","Activated_Fib",187,"NC","GSE164241","GSM500_cohort",1511,0.123759099933819
"GSM5005055","Adventitial_Fib",224,"NC","GSE164241","GSM500_cohort",1511,0.14824619457313
"GSM5005055","ECM_Fib",267,"NC","GSE164241","GSM500_cohort",1511,0.176704169424222
"GSM5005055","Inflammatory_Fib",831,"NC","GSE164241","GSM500_cohort",1511,0.549966909331568
"GSM5005055","PI16_Fib",2,"NC","GSE164241","GSM500_cohort",1511,0.00132362673726009
"GSM5005055","Unassigned_Fib",0,"NC","GSE164241","GSM500_cohort",1511,0
"GSM5005056","Activated_Fib",18,"NC","GSE164241","GSM500_cohort",585,0.0307692307692308
"GSM5005056","Adventitial_Fib",37,"NC","GSE164241","GSM500_cohort",585,0.0632478632478632
"GSM5005056","ECM_Fib",132,"NC","GSE164241","GSM500_cohort",585,0.225641025641026
"GSM5005056","Inflammatory_Fib",4,"NC","GSE164241","GSM500_cohort",585,0.00683760683760684
"GSM5005056","PI16_Fib",394,"NC","GSE164241","GSM500_cohort",585,0.673504273504274
"GSM5005056","Unassigned_Fib",0,"NC","GSE164241","GSM500_cohort",585,0
"GSM5005057","Activated_Fib",525,"NC","GSE164241","GSM500_cohort",1653,0.317604355716878
"GSM5005057","Adventitial_Fib",348,"NC","GSE164241","GSM500_cohort",1653,0.210526315789474
"GSM5005057","ECM_Fib",135,"NC","GSE164241","GSM500_cohort",1653,0.0816696914700544
"GSM5005057","Inflammatory_Fib",645,"NC","GSE164241","GSM500_cohort",1653,0.390199637023593
"GSM5005057","PI16_Fib",0,"NC","GSE164241","GSM500_cohort",1653,0
"GSM5005057","Unassigned_Fib",0,"NC","GSE164241","GSM500_cohort",1653,0
"GSM5005058","Activated_Fib",142,"PD","GSE164241","GSM500_cohort",194,0.731958762886598
"GSM5005058","Adventitial_Fib",4,"PD","GSE164241","GSM500_cohort",194,0.0206185567010309
"GSM5005058","ECM_Fib",22,"PD","GSE164241","GSM500_cohort",194,0.11340206185567
"GSM5005058","Inflammatory_Fib",26,"PD","GSE164241","GSM500_cohort",194,0.134020618556701
"GSM5005058","PI16_Fib",0,"PD","GSE164241","GSM500_cohort",194,0
"GSM5005058","Unassigned_Fib",0,"PD","GSE164241","GSM500_cohort",194,0
"GSM5005059","Activated_Fib",423,"PD","GSE164241","GSM500_cohort",427,0.990632318501171
"GSM5005059","Adventitial_Fib",0,"PD","GSE164241","GSM500_cohort",427,0
"GSM5005059","ECM_Fib",3,"PD","GSE164241","GSM500_cohort",427,0.00702576112412178
"GSM5005059","Inflammatory_Fib",0,"PD","GSE164241","GSM500_cohort",427,0
"GSM5005059","PI16_Fib",1,"PD","GSE164241","GSM500_cohort",427,0.00234192037470726
"GSM5005059","Unassigned_Fib",0,"PD","GSE164241","GSM500_cohort",427,0
"GSM5005060","Activated_Fib",71,"PD","GSE164241","GSM500_cohort",90,0.788888888888889
"GSM5005060","Adventitial_Fib",7,"PD","GSE164241","GSM500_cohort",90,0.0777777777777778
"GSM5005060","ECM_Fib",4,"PD","GSE164241","GSM500_cohort",90,0.0444444444444444
"GSM5005060","Inflammatory_Fib",8,"PD","GSE164241","GSM500_cohort",90,0.0888888888888889
"GSM5005060","PI16_Fib",0,"PD","GSE164241","GSM500_cohort",90,0
"GSM5005060","Unassigned_Fib",0,"PD","GSE164241","GSM500_cohort",90,0
"GSM5005061","Activated_Fib",983,"PD","GSE164241","GSM500_cohort",1087,0.904323827046918
"GSM5005061","Adventitial_Fib",13,"PD","GSE164241","GSM500_cohort",1087,0.0119595216191352
"GSM5005061","ECM_Fib",80,"PD","GSE164241","GSM500_cohort",1087,0.0735970561177553
"GSM5005061","Inflammatory_Fib",11,"PD","GSE164241","GSM500_cohort",1087,0.0101195952161914
"GSM5005061","PI16_Fib",0,"PD","GSE164241","GSM500_cohort",1087,0
"GSM5005061","Unassigned_Fib",0,"PD","GSE164241","GSM500_cohort",1087,0
"GSM5005062","Activated_Fib",623,"PD","GSE164241","GSM500_cohort",669,0.931240657698057
"GSM5005062","Adventitial_Fib",0,"PD","GSE164241","GSM500_cohort",669,0
"GSM5005062","ECM_Fib",46,"PD","GSE164241","GSM500_cohort",669,0.0687593423019432
"GSM5005062","Inflammatory_Fib",0,"PD","GSE164241","GSM500_cohort",669,0
"GSM5005062","PI16_Fib",0,"PD","GSE164241","GSM500_cohort",669,0
"GSM5005062","Unassigned_Fib",0,"PD","GSE164241","GSM500_cohort",669,0
"GSM5177039","Activated_Fib",570,"NC","GSE164241","GSM517_cohort",848,0.672169811320755
"GSM5177039","Adventitial_Fib",102,"NC","GSE164241","GSM517_cohort",848,0.120283018867925
"GSM5177039","ECM_Fib",53,"NC","GSE164241","GSM517_cohort",848,0.0625
"GSM5177039","Inflammatory_Fib",5,"NC","GSE164241","GSM517_cohort",848,0.00589622641509434
"GSM5177039","PI16_Fib",2,"NC","GSE164241","GSM517_cohort",848,0.00235849056603774
"GSM5177039","Unassigned_Fib",116,"NC","GSE164241","GSM517_cohort",848,0.136792452830189
"GSM5177040","Activated_Fib",38,"NC","GSE164241","GSM517_cohort",144,0.263888888888889
"GSM5177040","Adventitial_Fib",50,"NC","GSE164241","GSM517_cohort",144,0.347222222222222
"GSM5177040","ECM_Fib",28,"NC","GSE164241","GSM517_cohort",144,0.194444444444444
"GSM5177040","Inflammatory_Fib",2,"NC","GSE164241","GSM517_cohort",144,0.0138888888888889
"GSM5177040","PI16_Fib",21,"NC","GSE164241","GSM517_cohort",144,0.145833333333333
"GSM5177040","Unassigned_Fib",5,"NC","GSE164241","GSM517_cohort",144,0.0347222222222222
"GSM5177041","Activated_Fib",157,"NC","GSE164241","GSM517_cohort",340,0.461764705882353
"GSM5177041","Adventitial_Fib",61,"NC","GSE164241","GSM517_cohort",340,0.179411764705882
"GSM5177041","ECM_Fib",18,"NC","GSE164241","GSM517_cohort",340,0.0529411764705882
"GSM5177041","Inflammatory_Fib",0,"NC","GSE164241","GSM517_cohort",340,0
"GSM5177041","PI16_Fib",97,"NC","GSE164241","GSM517_cohort",340,0.285294117647059
"GSM5177041","Unassigned_Fib",7,"NC","GSE164241","GSM517_cohort",340,0.0205882352941176
"GSM5177042","Activated_Fib",358,"PD","GSE164241","GSM517_cohort",438,0.817351598173516
"GSM5177042","Adventitial_Fib",7,"PD","GSE164241","GSM517_cohort",438,0.0159817351598174
"GSM5177042","ECM_Fib",64,"PD","GSE164241","GSM517_cohort",438,0.146118721461187
"GSM5177042","Inflammatory_Fib",9,"PD","GSE164241","GSM517_cohort",438,0.0205479452054795
"GSM5177042","PI16_Fib",0,"PD","GSE164241","GSM517_cohort",438,0
"GSM5177042","Unassigned_Fib",0,"PD","GSE164241","GSM517_cohort",438,0
"GSM5177043","Activated_Fib",1098,"PD","GSE164241","GSM517_cohort",1342,0.818181818181818
"GSM5177043","Adventitial_Fib",123,"PD","GSE164241","GSM517_cohort",1342,0.0916542473919523
"GSM5177043","ECM_Fib",112,"PD","GSE164241","GSM517_cohort",1342,0.0834575260804769
"GSM5177043","Inflammatory_Fib",2,"PD","GSE164241","GSM517_cohort",1342,0.0014903129657228
"GSM5177043","PI16_Fib",6,"PD","GSE164241","GSM517_cohort",1342,0.00447093889716841
"GSM5177043","Unassigned_Fib",1,"PD","GSE164241","GSM517_cohort",1342,0.000745156482861401
"GSM5177044","Activated_Fib",455,"PD","GSE164241","GSM517_cohort",492,0.92479674796748
"GSM5177044","Adventitial_Fib",0,"PD","GSE164241","GSM517_cohort",492,0
"GSM5177044","ECM_Fib",31,"PD","GSE164241","GSM517_cohort",492,0.0630081300813008
"GSM5177044","Inflammatory_Fib",6,"PD","GSE164241","GSM517_cohort",492,0.0121951219512195
"GSM5177044","PI16_Fib",0,"PD","GSE164241","GSM517_cohort",492,0
"GSM5177044","Unassigned_Fib",0,"PD","GSE164241","GSM517_cohort",492,0
"GSM4600897","Activated_Fib",4,"NC","GSE152042","GSM460_cohort",17,0.235294117647059
"GSM4600897","Adventitial_Fib",4,"NC","GSE152042","GSM460_cohort",17,0.235294117647059
"GSM4600897","ECM_Fib",7,"NC","GSE152042","GSM460_cohort",17,0.411764705882353
"GSM4600897","Inflammatory_Fib",0,"NC","GSE152042","GSM460_cohort",17,0
"GSM4600897","PI16_Fib",0,"NC","GSE152042","GSM460_cohort",17,0
"GSM4600897","Unassigned_Fib",2,"NC","GSE152042","GSM460_cohort",17,0.117647058823529
"GSM4600898","Activated_Fib",2,"PD","GSE152042","GSM460_cohort",4,0.5
"GSM4600898","Adventitial_Fib",0,"PD","GSE152042","GSM460_cohort",4,0
"GSM4600898","ECM_Fib",2,"PD","GSE152042","GSM460_cohort",4,0.5
"GSM4600898","Inflammatory_Fib",0,"PD","GSE152042","GSM460_cohort",4,0
"GSM4600898","PI16_Fib",0,"PD","GSE152042","GSM460_cohort",4,0
"GSM4600898","Unassigned_Fib",0,"PD","GSE152042","GSM460_cohort",4,0
"GSM4600899","Activated_Fib",0,"PD","GSE152042","GSM460_cohort",3,0
"GSM4600899","Adventitial_Fib",0,"PD","GSE152042","GSM460_cohort",3,0
"GSM4600899","ECM_Fib",3,"PD","GSE152042","GSM460_cohort",3,1
"GSM4600899","Inflammatory_Fib",0,"PD","GSE152042","GSM460_cohort",3,0
"GSM4600899","PI16_Fib",0,"PD","GSE152042","GSM460_cohort",3,0
"GSM4600899","Unassigned_Fib",0,"PD","GSE152042","GSM460_cohort",3,0
