"sample","group","dataset","cohort","state_final","n_cells","AGT_mean","AGT_positive_fraction","C3_mean","C3_positive_fraction","ECM_TGFB_score","C3_CD44_score"
"GSM5005056","NC","GSE164241","GSM500_cohort","Activated_Fib",18,0,0,1.01345493827284,0.444444444444444,1.32043706164726,0.851557372417858
"GSM5005056","NC","GSE164241","GSM500_cohort","Adventitial_Fib",37,0,0,1.23721330693208,0.513513513513513,0.594282715670459,0.377408679696276
"GSM5005056","NC","GSE164241","GSM500_cohort","ECM_Fib",132,0,0,0.833219029084599,0.378787878787879,0.779547680308301,0.618582675204438
"GSM5005056","NC","GSE164241","GSM500_cohort","Inflammatory_Fib",4,0,0,0,0,1.07885763195564,0.797626411296289
"GSM5005056","NC","GSE164241","GSM500_cohort","PI16_Fib",394,0,0,0.8618350619597,0.347715736040609,0.624236758416301,0.453352320493748
"GSM5005057","NC","GSE164241","GSM500_cohort","Activated_Fib",525,0,0,0.0659631841054504,0.0342857142857143,1.4678036482251,0.816777331881711
"GSM5005057","NC","GSE164241","GSM500_cohort","Adventitial_Fib",348,0,0,0.520026726153767,0.227011494252874,0.479183232936213,0.1969591786107
"GSM5005057","NC","GSE164241","GSM500_cohort","ECM_Fib",135,0.0135543383528935,0.00740740740740741,0.131268377641706,0.0740740740740741,0.921222249422688,0.41873825915768
"GSM5005057","NC","GSE164241","GSM500_cohort","Inflammatory_Fib",645,0.00841865558835212,0.00465116279069767,0.313313203808504,0.175193798449612,1.28244717922719,0.681780643892831
"GSM5005058","PD","GSE164241","GSM500_cohort","Activated_Fib",142,0,0,0.476423679331239,0.267605633802817,1.26669569970095,1.04579975984754
"GSM5005058","PD","GSE164241","GSM500_cohort","Adventitial_Fib",4,0,0,0,0,0.762355393511616,0.242075605564324
"GSM5005058","PD","GSE164241","GSM500_cohort","ECM_Fib",22,0,0,0,0,1.28216814484414,0.875970993374881
"GSM5005058","PD","GSE164241","GSM500_cohort","Inflammatory_Fib",26,0,0,0.335602476846309,0.192307692307692,1.28665023213306,0.853032003153894
"GSM5005059","PD","GSE164241","GSM500_cohort","Activated_Fib",423,0.0136877747989628,0.0141843971631206,0.780874384508604,0.612293144208038,1.34649871347502,0.93254276280741
"GSM5005059","PD","GSE164241","GSM500_cohort","ECM_Fib",3,0,0,2.04538525619014,1,1.22591140646896,0.801732642213439
"GSM5005059","PD","GSE164241","GSM500_cohort","PI16_Fib",1,0,0,0,0,1.37690765121621,1.15133693914885
"GSM5005060","PD","GSE164241","GSM500_cohort","Activated_Fib",71,0.00639214369436805,0.0140845070422535,0.8889599486688,0.704225352112676,1.01706130570939,0.7569690901019
"GSM5005060","PD","GSE164241","GSM500_cohort","Adventitial_Fib",7,0.113668956856002,0.142857142857143,1.52787026476967,0.857142857142857,0.639672609321799,0.216440560184979
"GSM5005060","PD","GSE164241","GSM500_cohort","ECM_Fib",4,0,0,0.905164977519402,0.5,1.24938107866527,0.882049745936683
"GSM5005060","PD","GSE164241","GSM500_cohort","Inflammatory_Fib",8,0,0,0.682011254712139,0.375,0.954012419610358,0.837312259063608
"GSM5005061","PD","GSE164241","GSM500_cohort","Activated_Fib",983,0.0063169281152401,0.00712105798575788,1.12368294396801,0.707019328585961,1.25587509786939,1.07757977116437
"GSM5005061","PD","GSE164241","GSM500_cohort","Adventitial_Fib",13,0.0972967410524448,0.0769230769230769,1.43219891798669,0.692307692307692,0.907027273283666,0.342076221188326
"GSM5005061","PD","GSE164241","GSM500_cohort","ECM_Fib",80,0,0,0.70783468733733,0.4125,1.51303351772683,0.979432346304641
"GSM5005061","PD","GSE164241","GSM500_cohort","Inflammatory_Fib",11,0,0,0.597024299592193,0.363636363636364,1.48343978724172,1.34632145876983
"GSM5005062","PD","GSE164241","GSM500_cohort","Activated_Fib",623,0.0363688999942412,0.0272873194221509,1.02343355951115,0.709470304975923,1.17116220915498,0.875372295599121
"GSM5005062","PD","GSE164241","GSM500_cohort","ECM_Fib",46,0.0980274162402729,0.0652173913043478,0.597391720289188,0.347826086956522,1.35372907700277,0.803473187014318
"GSM5177039","NC","GSE164241","GSM517_cohort","Activated_Fib",570,0.0191640922734148,0.0228070175438597,0.527291235415511,0.489473684210526,1.22948640183639,0.757885821463487
"GSM5177039","NC","GSE164241","GSM517_cohort","Adventitial_Fib",102,0.0133090588237409,0.00980392156862745,0.477617282458333,0.323529411764706,0.798095322892262,0.321305056265069
"GSM5177039","NC","GSE164241","GSM517_cohort","ECM_Fib",53,0,0,0.15732571529544,0.0943396226415094,1.21963570029415,0.704103050965565
"GSM5177039","NC","GSE164241","GSM517_cohort","Inflammatory_Fib",5,0,0,0.922480583636555,0.6,1.70345403287072,1.15169072537634
