"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","pct_gap"
1.65869710433235e-52,1.2713407117138,0.581,0.209,9.03857226092782e-48,"0","PSD3",0.372
4.44926259368331e-52,0.727419415702955,0.914,0.675,2.42449217254991e-47,"0","FBN1",0.239
8.11224498554639e-52,1.05432199737118,0.474,0.155,4.42052453752394e-47,"0","SH3BP5",0.319
1.02284218443728e-50,1.17127570804122,0.47,0.151,5.57367163143561e-46,"0","FARP1",0.319
1.48481749529229e-50,1.58927028381744,0.476,0.154,8.09106749534674e-46,"0","ADM",0.322
3.28508296161171e-50,1.58661155127693,0.357,0.072,1.79010740744145e-45,"0","KIRREL",0.285
7.37167218146504e-50,1.02364518243282,0.684,0.278,4.01697160512393e-45,"0","CTSZ",0.406
2.00476740122102e-49,0.788560993110846,0.689,0.33,1.09243785227336e-44,"0","FLNA",0.359
2.06662831636695e-49,1.01337906860804,0.71,0.314,1.12614710215468e-44,"0","BRI3",0.396
2.90682328662132e-49,0.997600532747076,0.664,0.287,1.58398614534569e-44,"0","NDRG1",0.377
5.62577629185694e-49,1.24128072794828,0.68,0.31,3.06559801695868e-44,"0","IRF1",0.37
1.3376342762757e-48,0.943762536921786,0.73,0.354,7.28903669828155e-44,"0","ITGB5",0.376
1.75609096596419e-48,1.60883302121644,0.503,0.156,9.56929089173205e-44,"0","MASP1",0.347
2.34242162830889e-48,1.09353615760867,0.425,0.132,1.27643239369808e-43,"0","NUDT3",0.293
2.45576179968127e-48,2.37226040379886,0.277,0.037,1.33819371988232e-43,"0","CDR1-AS",0.24
8.20067093666733e-48,1.36366130254815,0.38,0.109,4.46870960680876e-43,"0","RASSF8",0.271
1.26292526890895e-47,0.875544825039641,0.647,0.242,6.88193237533865e-43,"0","LAMB1",0.405
3.8856088559094e-47,0.835850196800644,0.787,0.398,2.11734597776215e-42,"0","MYH9",0.389
4.05359201409754e-47,0.810883977459956,0.507,0.201,2.20888336032203e-42,"0","BRD4",0.306
5.47580704985527e-47,1.30077439755318,0.365,0.104,2.98387677760714e-42,"0","XAF1",0.261
3.31508370660106e-46,2.7631904269686,0.337,0.073,1.80645541340105e-41,"0","CXCL6",0.264
3.54311329037201e-46,1.70442444102815,0.36,0.088,1.93071329418952e-41,"0","REL",0.272
