"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","pct_gap"
3.93905526665388e-48,10.9597209584003,0.193,0,2.14646999590503e-43,"4","ABCF2.1",0.193
1.90237095285352e-43,10.9567420896457,0.175,0,1.03663997962894e-38,"4","AC048341.1",0.175
1.53128005239376e-41,10.8931791664556,0.168,0,8.34425126150405e-37,"4","CTBP1-DT",0.168
7.01114875495364e-55,10.8425988745302,0.219,0,3.82051517954934e-50,"4","AC245595.1",0.219
1.13565171638914e-62,10.8141736260689,0.247,0,6.18839333294767e-58,"4","RAMMET",0.247
1.12803636020824e-140,10.7945984594696,0.496,0,6.14689573404676e-136,"4","GUCY1A1",0.496
1.12619203849415e-98,10.6576648518854,0.37,0,6.1368456561623e-94,"4","CYBC1",0.37
2.5970759416124e-54,10.6544815688489,0.216,0,1.41519862210343e-49,"4","VPS35L",0.216
3.86752329191004e-135,10.6426942874392,0.48,0,2.10749079222762e-130,"4","OGA",0.48
2.85908961844405e-41,10.6379529544392,0.167,0,1.55797511488253e-36,"4","TENT4B",0.167
2.85738609027351e-280,10.4973815915139,0.832,0.001,1.55704682831184e-275,"4","ATP5MC3",0.831
8.12647813675641e-45,10.4786033779123,0.181,0,4.4282804662813e-40,"4","DEPP1",0.181
1.33722268792772e-264,10.3372179824603,0.799,0.001,7.28679387105573e-260,"4","ATP5MD",0.798
4.30817513147866e-299,10.3342161517201,0.87,0.001,2.34761079264535e-294,"4","ATP5PF",0.869
1.34991200168402e-78,10.2804511459358,0.303,0,7.35594047957659e-74,"4","MOSMO",0.303
1.25733685507711e-272,10.2317487034145,0.816,0.001,6.85147999068618e-268,"4","ATP5F1D",0.815
6.51917035071543e-285,10.1876095239229,0.842,0.001,3.55242630751185e-280,"4","ATP5MC2",0.841
1.16173465738539e-313,10.0177355888109,0.899,0.001,6.33052449502448e-309,"4","ATP5MG",0.898
1.84979788003825e-186,9.98442033472869,0.619,0.001,1.00799186079044e-181,"4","ATP5PB",0.618
4.23728446576226e-269,9.9736767037449,0.809,0.001,2.30898105108317e-264,"4","ATP5MF",0.808
2.77509513725433e-241,9.96173455173282,0.749,0,1.51220484219263e-236,"4","ATP5PO",0.749
6.75602489725153e-232,9.96053837843299,0.728,0,3.6814930870103e-227,"4","ATP5F1A",0.728
1.21937046555305e-82,3.05245562270195,0.556,0.169,6.64459354089166e-78,"5","CHI3L2",0.387
1.84113426815167e-53,2.37047267703053,0.461,0.151,1.00327088540121e-48,"5","MT1F",0.31
9.5011724601712e-130,2.29348060063134,0.875,0.462,5.17737889699649e-125,"5","CXCL2",0.413
7.96124965460576e-19,2.27945835376296,0.325,0.162,4.33824416178777e-14,"5","CXCL3",0.163
5.89125336296523e-29,2.2520709880479,0.221,0.056,3.21026178254701e-24,"5","ADAMDEC1",0.165
3.07556452357739e-30,2.18432874806398,0.278,0.098,1.67593662018779e-25,"5","TDO2",0.18
9.98026790736328e-43,2.15997783494862,0.49,0.213,5.4384475880804e-38,"5","G0S2",0.277
4.22434254570151e-47,1.84207019169261,0.525,0.227,2.30192874000367e-42,"5","IL6",0.298
4.87699830356338e-140,1.83758284911992,0.954,0.551,2.65757391557775e-135,"5","APOE",0.403
7.24662014194684e-32,1.79921906989192,0.368,0.16,3.94882824774967e-27,"5","WFDC2",0.208
2.90966740618017e-27,1.73093780869062,0.317,0.124,1.5855359629757e-22,"5","TSPAN15",0.193
2.59886263775053e-92,1.72723929976132,0.748,0.297,1.41617222856302e-87,"5","CCL19",0.451
2.45788411802052e-26,1.66580117031796,0.311,0.116,1.33935021359174e-21,"5","ADRA2A",0.195
2.68466518847647e-23,1.63761221369597,0.263,0.102,1.4629277545046e-18,"5","RBP5",0.161
3.82165032633589e-29,1.61649684205552,0.413,0.203,2.08249369582695e-24,"5","PHLDA2",0.21
6.11660089354845e-33,1.57803809943292,0.42,0.188,3.33305815891242e-28,"5","LBP",0.232
8.83137970928595e-104,1.5127951549723,0.906,0.61,4.8123954311841e-99,"5","PHLDA1",0.296
1.25891133506811e-47,1.46384176663207,0.682,0.429,6.86005964705315e-43,"5","ID4",0.253
9.31222705587381e-84,1.45672942824871,0.932,0.716,5.07441876728675e-79,"5","NFKBIA",0.216
5.2653236713811e-62,1.39578240555599,0.838,0.629,2.86918017500899e-57,"5","CYR61",0.209
2.76863790746967e-54,1.3454416219695,0.757,0.466,1.50868616853837e-49,"5","MT1X",0.291
1.0210893065652e-39,1.33909208351959,0.654,0.412,5.56411984933507e-35,"5","C8orf4",0.242
1.99248031228138e-49,1.33136664349155,0.637,0.353,1.08574237176837e-44,"5","CTSH",0.284
3.66598808062574e-82,1.32464901878087,0.898,0.554,1.99767022489458e-77,"5","CXCL13",0.344
1.0197239791182e-21,1.27653716841548,0.377,0.219,5.55667990701092e-17,"5","CD40",0.158
2.27297703574671e-43,1.27299772414806,0.74,0.525,1.2385906463191e-38,"5","CLU",0.215
2.15781450885415e-25,1.23617793141444,0.384,0.185,1.1758362821648e-20,"5","CD24",0.199
4.43027111692895e-50,1.22353156314033,0.737,0.491,2.41414333703692e-45,"5","STEAP1",0.246
1.83105257751026e-32,1.20103886878169,0.455,0.209,9.97777170536892e-28,"5","CRTAC1",0.246
3.49454487084604e-25,1.16083600996328,0.679,0.513,1.90424739102143e-20,"5","TNFAIP6",0.166
3.19902735964101e-96,2.56375267840072,0.532,0.085,1.74321398881558e-91,"6","CDR1-AS",0.447
9.35377877337814e-89,2.24500789719143,0.568,0.105,5.09706112918922e-84,"6","DDX3Y",0.463
1.04162127615535e-78,2.18241474068924,0.6,0.182,5.67600265802575e-74,"6","WISP2",0.418
1.14944277111749e-62,2.14286620728243,0.419,0.082,6.26354354837343e-58,"6","CYS1",0.337
3.3207262619665e-54,2.12246523236133,0.341,0.067,1.80953015467078e-49,"6","RP1-78O14.1",0.274
2.89902773648352e-31,2.03367914288128,0.204,0.034,1.5797381941646e-26,"6","PLCL1",0.17
1.62697955209844e-29,2.03327142113346,0.212,0.042,8.86573697529482e-25,"6","HS3ST6",0.17
1.16306795237893e-65,1.93978657863346,0.57,0.183,6.33778988610328e-61,"6","SLC5A3",0.387
8.42500082127098e-39,1.92166589360838,0.347,0.099,4.59095144752698e-34,"6","F13A1",0.248
1.33797461478727e-52,1.9177790638426,0.402,0.094,7.29089127089881e-48,"6","ROBO2",0.308
3.64810391735488e-35,1.85419326346862,0.254,0.052,1.98792478664502e-30,"6","KIF13B",0.202
4.62409046946454e-44,1.79568544034361,0.336,0.08,2.51975937862062e-39,"6","PRICKLE1",0.256
2.94552234185107e-23,1.76204065541217,0.198,0.039,1.60507403452149e-18,"6","OSBPL3",0.159
4.39412282604548e-43,1.7226020810478,0.314,0.067,2.3944454103687e-38,"6","PREX2",0.247
1.59933477614591e-34,1.67118383731754,0.309,0.09,8.71509506217431e-30,"6","ITIH5",0.219
1.32147340209894e-53,1.66319572391419,0.395,0.082,7.20097286271757e-49,"6","AHNAK2",0.313
1.66174365770202e-106,1.62824017161924,0.799,0.205,9.05517353954983e-102,"6","RPS4Y1",0.594
7.05911720163273e-63,1.58103955072749,0.557,0.157,3.84665414551371e-58,"6","SYNE3",0.4
6.6558657959774e-132,1.51530098536404,0.993,0.731,3.62691438954401e-127,"6","APCDD1",0.262
3.1988652372289e-36,1.50527509625241,0.352,0.083,1.74312564507077e-31,"6","PPL",0.269
3.45868172729495e-69,1.47831019152817,0.674,0.247,1.88470484683756e-64,"6","FAM46A",0.427
1.17643575084205e-72,1.44890066362739,0.658,0.224,6.4106336934885e-68,"6","PPP1R14B",0.434
3.49343510711792e-20,1.40543830735337,0.235,0.069,1.9036426585707e-15,"6","MPP6",0.166
3.51492342240878e-27,1.40092211980283,0.233,0.054,1.91535207133899e-22,"6","AIM1",0.179
2.27902161646478e-24,1.39622595775833,0.237,0.068,1.24188445924399e-19,"6","TFAP2B",0.169
1.41996779183309e-95,1.38009073047686,0.883,0.442,7.73768849125687e-91,"6","RORB",0.441
1.13237777919649e-50,1.36935845952598,0.468,0.146,6.17055299439751e-46,"6","MGLL",0.322
2.07986212608444e-26,1.3677683971642,0.242,0.069,1.13335846974593e-21,"6","SHOX2",0.173
4.97948308528421e-35,1.35428679459457,0.282,0.071,2.71341992283307e-30,"6","ANKRD36C",0.211
2.18978510598293e-39,1.34782835426442,0.423,0.127,1.19325769995222e-34,"6","OGFRL1",0.296
3.61460956544826e-122,8.31862249885347,0.458,0.002,1.96967304440407e-117,"7","PI16",0.456
5.37752564004951e-174,7.75580307471792,0.617,0.009,2.93032127177578e-169,"7","MFAP5",0.608
5.29388950421132e-59,7.06744791404802,0.248,0.006,2.88474626863483e-54,"7","THBS4",0.242
1.53299291435726e-68,6.80753424075538,0.303,0.008,8.3535849889156e-64,"7","PCOLCE2",0.295
5.16152661765254e-66,6.62350215562188,0.292,0.007,2.81261908449122e-61,"7","ADH1B",0.285
3.55433644300902e-77,5.6902535519611,0.321,0.01,1.93682901452447e-72,"7","MAMDC2",0.311
2.21391829238192e-133,5.68972467275106,0.542,0.032,1.20640835588476e-128,"7","CHRDL1",0.51
4.38665954135002e-97,5.6646247691057,0.408,0.022,2.39037851727246e-92,"7","GPC3",0.386
3.41395038957589e-147,5.34007227794326,0.586,0.042,1.86032984628769e-142,"7","TSPAN8",0.544
2.00418146801981e-101,5.32683907948608,0.447,0.025,1.09211856555335e-96,"7","CD34",0.422
7.23768552981553e-96,5.31958478323443,0.434,0.039,3.94395959890708e-91,"7","PLA2G2A",0.395
2.30675855621799e-48,5.3117097364657,0.223,0.009,1.25699887245431e-43,"7","SLITRK5",0.214
3.91570363396088e-63,5.30955967395952,0.31,0.022,2.13374522421796e-58,"7","CILP",0.288
2.78822696613267e-49,5.18473061729147,0.256,0.017,1.51936063838501e-44,"7","ABLIM1",0.239
8.37203436547802e-59,4.70015322301801,0.286,0.018,4.56208896643628e-54,"7","GREM2",0.268
8.99169961853414e-141,4.38172402713019,0.631,0.078,4.89975695613162e-136,"7","ANGPTL1",0.553
3.31548289505879e-134,4.30582797815457,0.609,0.068,1.80667293917544e-129,"7","TNXB",0.541
2.80486893859729e-49,4.29325368718836,0.279,0.029,1.52842918202044e-44,"7","CLDN11",0.25
2.30008787783156e-35,4.2162461174685,0.177,0.013,1.25336388638798e-30,"7","PDLIM3",0.164
3.77080634429721e-53,3.97634586936766,0.284,0.028,2.05478779313443e-48,"7","MAB21L2",0.256
3.4867090529586e-60,3.9226863766594,0.329,0.043,1.8999774971382e-55,"7","MGST1",0.286
4.25938057486632e-85,3.90064147986228,0.44,0.053,2.32102166285615e-80,"7","LSP1",0.387
1.3685324476263e-138,3.89089961985485,0.657,0.111,7.45740701360521e-134,"7","NFIB",0.546
3.10955006291084e-39,3.85691592558937,0.212,0.021,1.69445602028138e-34,"7","C1QTNF7",0.191
4.92740055428059e-59,3.76166629715804,0.351,0.06,2.68503911003858e-54,"7","CADM3",0.291
8.77540575215811e-66,3.67745086864311,0.357,0.043,4.781894102466e-61,"7","GDF10",0.314
1.13618073173542e-69,3.57701292835379,0.39,0.067,6.19127604337266e-65,"7","ELN",0.323
