"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
3.64105627311169e-29,5.02320862125804,0.139,0.005,1.98408438434402e-24,"9","ITGAL"
5.23417676108426e-29,1.64753791913623,0.49,0.22,2.85220760065004e-24,"9","LEPROTL1"
6.86409484289445e-29,0.541215948438599,0.98,0.913,3.74038256179004e-24,"9","FAU"
1.01245631432163e-28,5.84845124936876,0.137,0.003,5.51707694800141e-24,"9","PRF1"
1.2770098391881e-28,6.23725063104806,0.126,0.002,6.95868201570378e-24,"9","TRAT1"
2.84436372875229e-28,3.05682237611552,0.17,0.025,1.5499506830717e-23,"9","RASSF5"
2.92156164495399e-28,0.550680434522594,0.963,0.885,1.59201737156833e-23,"9","RPL9"
3.97869561939681e-28,0.446606984162143,0.998,0.98,2.16807081692171e-23,"9","RPLP1"
4.64685454213136e-28,2.48613622820894,0.264,0.063,2.53216397709822e-23,"9","APOBEC3G"
4.85568025927807e-28,1.88926037949115,0.453,0.185,2.6459572868858e-23,"9","COTL1"
5.50099662645053e-28,5.80234501888006,0.157,0.014,2.99760308168542e-23,"9","CCL4L2"
5.55396757343591e-28,4.8042941424359,0.12,0.005,3.0264680101167e-23,"9","RNF125"
7.36560552151472e-28,0.957659306425279,0.845,0.669,4.0136657607838e-23,"9","TSC22D3"
8.10671896839214e-28,5.57417316892544,0.126,0.003,4.41751330025625e-23,"9","KLRD1"
1.37714733916671e-27,5.32985079058091,0.122,0.003,7.50435128058724e-23,"9","PSTPIP1"
2.41819644721198e-27,6.38545035023703,0.113,0.002,1.31772360801475e-22,"9","CTLA4"
2.93488169096974e-27,3.26779871241842,0.163,0.016,1.59927573104323e-22,"9","PRKCH"
4.58084249087711e-27,6.24844681896466,0.12,0.002,2.49619269012875e-22,"9","GATA3"
1.43796563823709e-26,5.00106300033631,0.131,0.006,7.83576235588154e-22,"9","CCR7"
1.97918602715263e-26,4.20741954913709,0.131,0.008,1.07849804991601e-21,"9","PYHIN1"
4.63022647825937e-26,2.05180612816629,0.331,0.106,2.52310301253309e-21,"9","RUNX3"
6.17177123789216e-26,0.661378484670863,0.898,0.785,3.3631215829522e-21,"9","RPSA"
8.21020579181918e-26,0.434033125331519,0.998,0.975,4.47390534007811e-21,"9","RPL11"
1.79791615604026e-25,5.18058891776761,0.126,0.005,9.7972047174946e-21,"9","RASAL3"
1.88629272189998e-25,5.04401689888479,0.109,0.004,1.02787863001774e-20,"9","ITK"
2.31592561212357e-25,1.58521692470363,0.368,0.137,1.26199418455837e-20,"9","ISG20"
2.54656565948956e-25,2.33562224513636,0.222,0.05,1.38767455916905e-20,"9","SEPT1"
5.70916992958446e-25,1.24852030646622,0.527,0.251,3.11104087802916e-20,"9","DDIT4"
6.33831041994322e-25,4.28396142359259,0.118,0.006,3.45387211403546e-20,"9","TMC6"
6.48397158907023e-25,3.36525671831807,0.131,0.013,3.53324579831615e-20,"9","MIAT"
6.77055946436941e-25,4.5353322896218,0.107,0.005,3.68941326332418e-20,"9","SORL1"
7.01741332505991e-25,1.83899339544896,0.423,0.18,3.82392886909165e-20,"9","REL"
7.88747139190442e-25,1.53572887043599,0.516,0.256,4.29804091087656e-20,"9","STK17B"
1.76123736801267e-24,2.19598928500888,0.257,0.069,9.59733466577463e-20,"9","ICAM3"
1.89345608689003e-24,4.65663594597804,0.115,0.006,1.03178209086812e-19,"9","IL10RA"
2.6966557624281e-24,1.55051267291514,0.285,0.094,1.46946165806232e-19,"9","HLA-DPA1"
2.78099271488818e-24,6.85919789658458,0.1,0.001,1.51541855019687e-19,"9","CCDC64"
3.25854788773126e-24,3.69710783931725,0.148,0.011,1.77564791498252e-19,"9","MGAT4A"
4.50265982722199e-24,0.464141697493565,1,0.995,2.4535893930498e-19,"9","MALAT1"
6.8059856192289e-24,0.987089445045928,0.603,0.344,3.70871768363021e-19,"9","BTG2"
7.60432404541259e-24,5.79978311841884,0.102,0.001,4.14374825882623e-19,"9","P2RY10"
8.21076500466645e-24,4.83318552503672,0.129,0.005,4.47421006634284e-19,"9","ARHGAP30"
9.90765083905159e-24,1.14484190746951,0.627,0.353,5.39887709521599e-19,"9","CD74"
1.12513799522675e-23,0.449600791542276,0.991,0.962,6.13110196358958e-19,"9","RPL19"
1.24289812912496e-23,3.30232966487663,0.122,0.01,6.77280048522776e-19,"9","TC2N"
1.78217325411429e-23,0.435385977259796,1,0.979,9.71141849631959e-19,"9","RPS18"
2.39624511550025e-23,3.26792696941637,0.135,0.018,1.3057618883384e-18,"9","SLC9A3R1"
3.00107556324223e-23,3.57457696844277,0.157,0.015,1.63534609592196e-18,"9","IQGAP2"
3.43042789987282e-23,2.14391512119284,0.17,0.03,1.8693087711987e-18,"9","FAM129A"
4.86759068183231e-23,0.959505773092984,0.717,0.504,2.65244751434406e-18,"9","SRSF7"
5.21322532115393e-23,4.51660019552242,0.102,0.004,2.8407907420032e-18,"9","ARAP2"
5.77656014271968e-23,5.75587207632739,0.102,0.002,3.14776315297081e-18,"9","TRGC2"
7.7152091788393e-23,1.60112002326499,0.383,0.162,4.20417178573311e-18,"9","CKLF"
7.8024009785357e-23,0.432272518647384,1,0.971,4.25168434122367e-18,"9","RPS19"
1.05527481278022e-22,1.41247642647607,0.538,0.288,5.75040350980196e-18,"9","YPEL5"
1.17354264273131e-22,2.23753007082512,0.19,0.03,6.39486856877143e-18,"9","ARHGAP15"
1.31365624851171e-22,3.49047024921696,0.135,0.013,7.15837562938999e-18,"9","EVI2B"
1.90648982582691e-22,4.01196754712155,0.131,0.012,1.0388844358896e-17,"9","SELL"
3.32265111464528e-22,0.479175773793824,0.985,0.935,1.81057904539251e-17,"9","RPL3"
4.7260922084733e-22,3.54031030210534,0.148,0.017,2.57534216624127e-17,"9","LCP2"
6.8572606977932e-22,0.418750377870544,0.989,0.961,3.73665849944147e-17,"9","RPS2"
7.33197803834231e-22,4.39904404018288,0.111,0.005,3.99534147265349e-17,"9","DEF6"
7.43653204795884e-22,5.10713308274807,0.105,0.003,4.05231504357373e-17,"9","ZAP70"
7.63914469255645e-22,2.69474379029735,0.12,0.017,4.16272272586786e-17,"9","RHOF"
9.83618678260345e-22,2.49781149086663,0.237,0.064,5.35993490157627e-17,"9","TNFRSF1B"
1.10969175729007e-21,4.15622419018419,0.107,0.006,6.04693232382507e-17,"9","SELPLG"
1.44022308821254e-21,4.41357941923618,0.107,0.004,7.84806365228778e-17,"9","HMHA1"
1.64038328977823e-21,4.45908342673974,0.115,0.009,8.93877662265952e-17,"9","TNFRSF4"
2.11897859410218e-21,2.21159403948689,0.214,0.054,1.15467381549816e-16,"9","FAM49B"
4.89086045162641e-21,5.66082277845673,0.107,0.004,2.66512767730026e-16,"9","CRTAM"
5.87411550321275e-21,5.00671247827965,0.1,0.004,3.20092302001069e-16,"9","CD84"
6.77244456679306e-21,4.2601122684907,0.107,0.006,3.69044049333687e-16,"9","TMC8"
9.08584690395003e-21,0.465194425892189,0.965,0.905,4.95105969490045e-16,"9","RPL18"
1.86813635165336e-20,1.8108915026296,0.272,0.094,1.01798486074295e-15,"9","PIP4K2A"
3.10088764208625e-20,2.93968634835576,0.179,0.039,1.68973569392564e-15,"9","TNFRSF18"
3.49331121063044e-20,3.65834171195952,0.1,0.008,1.90357514489674e-15,"9","FERMT3"
4.34354410021932e-20,0.430743700515253,0.974,0.938,2.36688405109151e-15,"9","RPL8"
5.38668098786985e-20,3.19377448072519,0.144,0.015,2.93531020391004e-15,"9","FAM65B"
6.42491648776157e-20,1.13553950854294,0.41,0.176,3.50106549251103e-15,"9","CELF2"
2.36602566930919e-19,1.87324694939676,0.163,0.035,1.28929470771997e-14,"9","AQP3"
2.5626465705599e-19,2.07581333356507,0.196,0.055,1.3964373692295e-14,"9","TCF7"
3.98581977088963e-19,0.614932331918769,0.83,0.708,2.17195290955318e-14,"9","CALM1"
4.28799657935787e-19,3.52230154535279,0.113,0.011,2.33661509602369e-14,"9","TNFRSF25"
4.29115844657117e-19,0.603856622003405,0.924,0.817,2.33833806070556e-14,"9","RPS21"
4.34395494043818e-19,2.2210342312343,0.159,0.034,2.36710792614357e-14,"9","HLA-DQB1"
4.44875809261313e-19,3.66381000030744,0.111,0.007,2.42421725982675e-14,"9","GIMAP1"
4.96437038309053e-19,0.3706964412381,1,0.974,2.70518470915369e-14,"9","RPL10"
5.14974224785818e-19,4.04271367212753,0.105,0.007,2.80619754570288e-14,"9","SYTL1"
5.23513438704257e-19,0.436967418366006,0.98,0.922,2.85272943018724e-14,"9","RPS3A"
5.48670259205549e-19,0.404750552839938,0.976,0.944,2.98981397646288e-14,"9","RPS16"
7.35121979744953e-19,0.42771316073475,0.956,0.903,4.0058266920262e-14,"9","RPL14"
8.9098794583021e-19,2.28519018971518,0.19,0.041,4.85517151441798e-14,"9","FMNL1"
1.78788100335355e-18,2.61777979255287,0.129,0.027,9.74252116347418e-14,"9","PIM2"
2.07118111255816e-18,0.627713055832849,0.865,0.732,1.12862801185519e-13,"9","HLA-E"
2.45317166402236e-18,0.683306114659325,0.765,0.647,1.33678230315907e-13,"9","EEF1B2"
3.244526966321e-18,0.429468278736949,0.987,0.942,1.76800763448764e-13,"9","RPS25"
4.11483700661351e-18,0.369404273966876,0.993,0.986,2.24225698164383e-13,"9","EEF1A1"
4.85358700203989e-18,1.56729890744289,0.285,0.111,2.64481662915158e-13,"9","HLA-DRB1"
4.87017618680307e-18,1.34634726642411,0.246,0.101,2.65385640771273e-13,"9","PIK3IP1"
5.19503434523218e-18,0.380371915472617,0.967,0.932,2.83087811540392e-13,"9","RPL29"
5.20967636388533e-18,1.39884570374955,0.194,0.066,2.83885684420839e-13,"9","SEC11C"
5.70589811203162e-18,0.699467448657655,0.976,0.939,3.10925799920827e-13,"9","RPS29"
1.24221299513171e-17,1.44233228010349,0.244,0.093,6.7690670530717e-13,"9","CCND2"
1.32676856743343e-17,1.1580457425599,0.412,0.215,7.22982727765827e-13,"9","ELF1"
1.54466043413177e-17,1.06647315619281,0.405,0.22,8.41716363767082e-13,"9","ETS1"
2.97299313609036e-17,2.04017285120686,0.203,0.053,1.62004341971836e-12,"9","ANKRD44"
4.58458654189859e-17,1.21761359959204,0.39,0.185,2.49823289841138e-12,"9","SOCS1"
4.64986412589869e-17,2.5498581295288,0.155,0.033,2.53380395948471e-12,"9","MYO1F"
5.02905780168537e-17,1.60605404437977,0.24,0.093,2.74043417729439e-12,"9","ARHGEF1"
5.14219945364242e-17,2.01043575241141,0.15,0.035,2.80208732627883e-12,"9","SEMA4D"
7.10591494983718e-17,0.408122970238816,0.996,0.979,3.87215517446527e-12,"9","RPL32"
7.53621567164662e-17,0.353844090685612,0.983,0.962,4.10663464379368e-12,"9","RPS23"
8.06210504420836e-17,0.388839022857871,0.993,0.98,4.39320228069002e-12,"9","RPS12"
1.14346192977576e-16,2.12115555134254,0.131,0.029,6.23095274773405e-12,"9","HOPX"
1.26227369079761e-16,3.39833977110379,0.107,0.012,6.87838179589434e-12,"9","RBM38"
1.54084640109633e-16,1.52185542716641,0.277,0.126,8.39638020885415e-12,"9","CDKN1B"
1.66798638118423e-16,2.44817733035521,0.139,0.035,9.08919138834912e-12,"9","NFKBID"
1.96575996787394e-16,1.3879148379089,0.355,0.164,1.07118192169386e-11,"9","STK17A"
2.29026227338322e-16,2.65540623536368,0.15,0.032,1.24800971801199e-11,"9","RAB11FIP1"
2.32460122622464e-16,0.618666084450643,0.867,0.702,1.26672170019433e-11,"9","CYBA"
3.18716173538501e-16,0.774673651296155,0.704,0.532,1.736748172846e-11,"9","SARAF"
4.12472014737342e-16,0.98860369739613,0.547,0.324,2.24764250270672e-11,"9","GMFG"
5.30531255540289e-16,1.15099341563159,0.346,0.175,2.89097091769014e-11,"9","HLA-DPB1"
6.93344444468137e-16,1.53772773613476,0.309,0.126,3.77817254679577e-11,"9","CDC42SE2"
7.15520923523223e-16,0.875413363624065,0.603,0.384,3.89901661646274e-11,"9","NR4A2"
7.25626902821483e-16,0.909328636225627,0.503,0.316,3.95408611885482e-11,"9","RNF213"
7.26536082360984e-16,1.78392505667755,0.187,0.059,3.95904042000148e-11,"9","AIM1"
1.12044937507105e-15,2.19165136834895,0.183,0.044,6.10555273463715e-11,"9","PDE7A"
1.15667420681641e-15,0.490859603345175,0.998,0.94,6.30294908778397e-11,"9","RPS27"
1.86429232826029e-15,1.76852084568793,0.283,0.114,1.0158901755156e-10,"9","SMAP2"
2.12910057653284e-15,1.52961721000574,0.268,0.113,1.16018948616427e-10,"9","ADGRE5"
2.65761376276554e-15,1.29347236465131,0.381,0.191,1.4481868916062e-10,"9","PDCD4"
2.67865094082513e-15,2.45639600670303,0.124,0.027,1.45965047067443e-10,"9","PRKX"
3.42206958004058e-15,0.370105529004321,0.998,0.965,1.86475415555571e-10,"9","RPL13A"
6.19434364128647e-15,3.37322856262001,0.109,0.012,3.37542173700982e-10,"9","RP11-489E7.4"
6.24021248526644e-15,1.45785657121887,0.248,0.103,3.40041658747139e-10,"9","CITED2"
6.59496572329277e-15,1.20719314144672,0.492,0.249,3.59372872193669e-10,"9","FXYD5"
6.97169646322747e-15,0.431365961332828,0.922,0.783,3.79901683674192e-10,"9","GNB2L1"
8.53887823627673e-15,0.372206957741113,0.948,0.896,4.65300552851192e-10,"9","RPL5"
8.59829111319327e-15,2.82832031587973,0.148,0.029,4.68538079340128e-10,"9","SH2D2A"
1.03288114630643e-14,1.08780524952984,0.388,0.218,5.628375942453e-10,"9","RNF19A"
1.2668899272483e-14,0.512791973993836,0.795,0.612,6.90353659156143e-10,"9","KLF6"
1.41127729144537e-14,0.362672062740208,0.939,0.89,7.6903322165441e-10,"9","RPL24"
1.79075754955064e-14,1.14403164173797,0.471,0.281,9.75819603901136e-10,"9","FYN"
1.89915976011772e-14,0.356240079158429,0.987,0.921,1.03489013648335e-09,"9","RPL18A"
2.43816463041475e-14,0.335968391841033,0.993,0.975,1.32860467040561e-09,"9","RPS6"
2.66205952483004e-14,1.75464590273455,0.166,0.041,1.45060947627039e-09,"9","CCDC109B"
2.94694948620571e-14,0.848209543699273,0.477,0.294,1.60585171402322e-09,"9","TXNIP"
3.44554441805247e-14,0.377172638890121,0.98,0.957,1.87754606428515e-09,"9","RPL27A"
3.81366762988261e-14,0.390293515784209,0.943,0.905,2.07814376487563e-09,"9","RPL7A"
4.14022520088134e-14,2.59999406184727,0.129,0.025,2.25609151646426e-09,"9","CCDC88C"
4.37968559420302e-14,1.70231844244651,0.285,0.112,2.38657827399311e-09,"9","ABRACL"
6.74883397345781e-14,2.17617343959666,0.139,0.036,3.67757460881663e-09,"9","STK10"
