"target","sample","measure","value"
"Macrophages","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","p.R2",0.547311283524026
"Macrophages","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","gain.RMSE",-2.0483570496795
"Macrophages","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","gain.R2",-1.05076777295969
"Mast.cells","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","intra.RMSE",0.00865650179021979
"Mast.cells","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","intra.R2",20.0584180519231
"Mast.cells","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","multi.RMSE",0.00795516758691886
"Mast.cells","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","multi.R2",36.3013468856827
"Mast.cells","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","p.RMSE",0.354619393244315
"Mast.cells","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","p.R2",0.0902116917873031
"Mast.cells","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","gain.RMSE",8.10182011506432
"Mast.cells","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","gain.R2",16.2429288337596
"Neutrophils","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","intra.RMSE",0.00328779496044277
"Neutrophils","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","intra.R2",53.5948853385845
"Neutrophils","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","multi.RMSE",0.00324565050881784
"Neutrophils","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","multi.R2",55.5379822443523
