"target","sample","view","value"
"Inflammatory_Fib","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","intra",0.236759663630842
"Inflammatory_Fib","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","juxta.50",0.426946449121962
"Inflammatory_Fib","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","para.100",0.435277556978775
"Inflammatory_Fib","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","p.intercept",NA
"Inflammatory_Fib","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","p.intra",0.0518134896343363
"Inflammatory_Fib","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","p.juxta.50",0.0122987485545636
"Inflammatory_Fib","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","p.para.100",0.00558046238779264
"Macrophages","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","intercept",-0.00027497362993952
"Macrophages","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","intra",0.781788533908127
"Macrophages","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","juxta.50",-0.222027871173646
"Macrophages","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","para.100",0.464242084984027
"Macrophages","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","p.intercept",NA
"Macrophages","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","p.intra",1.68258629251739e-09
"Macrophages","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","p.juxta.50",0.214026902221683
"Macrophages","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","p.para.100",0.00630824810406372
"Mast.cells","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","intercept",4.82972994168092e-05
"Mast.cells","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","intra",0.328948616040123
"Mast.cells","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","juxta.50",-0.143381668381583
"Mast.cells","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","para.100",0.801136978309066
"Mast.cells","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","p.intercept",NA
"Mast.cells","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","p.intra",0.0230537273665021
"Mast.cells","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","p.juxta.50",0.344190986247936
"Mast.cells","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","p.para.100",6.50560847414994e-08
"Neutrophils","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","intercept",-0.00080162658864477
"Neutrophils","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","intra",0.941445715194521
"Neutrophils","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","juxta.50",0.276376962528618
"Neutrophils","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","para.100",-0.00917900630582316
"Neutrophils","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","p.intercept",NA
"Neutrophils","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","p.intra",0
"Neutrophils","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","p.juxta.50",0.0258653778082951
"Neutrophils","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","p.para.100",0.942439899445798
"pDCs","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","intercept",-0.00083233547718301
"pDCs","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","intra",0.794644537554627
"pDCs","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","juxta.50",0.35724512033738
"pDCs","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","para.100",0.115744774090642
"pDCs","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","p.intercept",NA
"pDCs","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","p.intra",4.20108392518159e-13
"pDCs","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","p.juxta.50",0.0179978644795109
"pDCs","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","p.para.100",0.433936998486199
"Pericytes","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","intercept",-0.0011149701387359
"Pericytes","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","intra",1.06128311755151
"Pericytes","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","juxta.50",-0.656432968496191
"Pericytes","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","para.100",0.74826685117462
"Pericytes","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","p.intercept",NA
"Pericytes","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","p.intra",0
"Pericytes","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","p.juxta.50",2.35451798842323e-05
"Pericytes","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","p.para.100",1.4551722156142e-06
"PI16_Fib","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","intercept",-0.0004462389746037
"PI16_Fib","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","intra",0.416391848622874
"PI16_Fib","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","juxta.50",0.448363795535878
"PI16_Fib","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","para.100",0.132652811903086
"PI16_Fib","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","p.intercept",NA
"PI16_Fib","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","p.intra",0.00054662024437512
"PI16_Fib","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","p.juxta.50",0.00867332326108761
"PI16_Fib","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","p.para.100",0.426852837971886
"Plasma.cells","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","intercept",-0.00084371225545648
"Plasma.cells","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","intra",0.254351472412151
"Plasma.cells","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","juxta.50",0.857883425675073
"Plasma.cells","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","para.100",0.209550105772694
"Plasma.cells","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","p.intercept",NA
"Plasma.cells","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","p.intra",0.123046669798942
"Plasma.cells","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","p.juxta.50",2.35835399329254e-05
"Plasma.cells","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","p.para.100",0.2992367571138
"T.cells","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","intercept",0.00120844992452734
"T.cells","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","intra",0.248405905666237
"T.cells","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","juxta.50",0.394491671859797
"T.cells","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","para.100",-0.0506622579024538
"T.cells","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","p.intercept",NA
"T.cells","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","p.intra",0.103854957196271
"T.cells","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","p.juxta.50",0.00491563541764495
"T.cells","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","p.para.100",0.720907818360428
