"view","Predictor","Target","Importance","nsamples"
"intra","Neutrophils","B.cells",-0.695721220492484,1
"intra","Neutrophils","Cycling.cells",-0.275706516894936,1
"intra","Neutrophils","ECM_Fib",-1.01214005117136,1
"intra","Neutrophils","Endothelial.cells",-0.88324581408565,1
"intra","Neutrophils","Epithelial.cells",-0.802799012851626,1
"intra","Neutrophils","Inflammatory_Fib",-0.561686760839783,1
"intra","Neutrophils","Macrophages",-0.325150897098976,1
"intra","Neutrophils","Mast.cells",-0.766153687778428,1
"intra","Neutrophils","Neutrophils",NA,1
"intra","Neutrophils","PI16_Fib",-0.173738276842345,1
"intra","Neutrophils","Pericytes",-1.12447476567582,1
"intra","Neutrophils","Plasma.cells",-0.393421456151577,1
"intra","Neutrophils","T.cells",-0.95471927400933,1
"intra","Neutrophils","pDCs",2.38569101159482,1
"intra","PI16_Fib","Activated_Fib",-0.562240251775262,1
"intra","PI16_Fib","Adventitial_Fib",-0.872435132239456,1
"intra","PI16_Fib","B.cells",1.02598291175988,1
"intra","PI16_Fib","Cycling.cells",-0.590216950869085,1
"intra","PI16_Fib","ECM_Fib",0.351150691145191,1
"intra","PI16_Fib","Endothelial.cells",0.0478629062183793,1
"intra","PI16_Fib","Epithelial.cells",-0.392339468127809,1
"intra","PI16_Fib","Inflammatory_Fib",-0.649988809134375,1
"intra","PI16_Fib","Macrophages",-0.720798437479229,1
"intra","PI16_Fib","Mast.cells",-0.849862003466674,1
"intra","PI16_Fib","Neutrophils",-0.801861408226029,1
"intra","PI16_Fib","PI16_Fib",NA,1
"intra","PI16_Fib","Pericytes",-0.763861032735286,1
"intra","PI16_Fib","Plasma.cells",-0.531965337081967,1
"intra","PI16_Fib","T.cells",-0.309251494214342,1
"intra","PI16_Fib","pDCs",-0.586742525803463,1
"intra","Pericytes","Activated_Fib",-0.332536692303875,1
"intra","Pericytes","Adventitial_Fib",1.87815469749811,1
"intra","Pericytes","B.cells",-0.247471870395598,1
"intra","Pericytes","Cycling.cells",-0.830105238945099,1
"intra","Pericytes","ECM_Fib",-0.181989801902665,1
"intra","Pericytes","Endothelial.cells",1.76264265743892,1
"intra","Pericytes","Epithelial.cells",-0.308133685408656,1
"intra","Pericytes","Inflammatory_Fib",0.724852478441632,1
"intra","Pericytes","Macrophages",-0.0338066547713673,1
"intra","Pericytes","Mast.cells",2.67757007784366,1
"intra","Pericytes","Neutrophils",-0.467152664593899,1
"intra","Pericytes","PI16_Fib",-0.183234496478254,1
"intra","Pericytes","Pericytes",NA,1
"intra","Pericytes","Plasma.cells",0.306521336410743,1
"intra","Pericytes","T.cells",-0.768442028195795,1
"intra","Pericytes","pDCs",-0.533264219830896,1
"intra","Plasma.cells","Activated_Fib",-0.35344743747744,1
"intra","Plasma.cells","Adventitial_Fib",-0.473663092600889,1
"intra","Plasma.cells","B.cells",1.21637518777895,1
"intra","Plasma.cells","Cycling.cells",1.86134105372701,1
"intra","Plasma.cells","ECM_Fib",-0.431167375257814,1
"intra","Plasma.cells","Endothelial.cells",-0.903582066910291,1
"intra","Plasma.cells","Epithelial.cells",-0.627470068817706,1
"intra","Plasma.cells","Inflammatory_Fib",-0.769942412631109,1
"intra","Plasma.cells","Macrophages",-0.5648554239134,1
"intra","Plasma.cells","Mast.cells",-0.0761335452349096,1
"intra","Plasma.cells","Neutrophils",2.5986910089727,1
"intra","Plasma.cells","PI16_Fib",-0.637429613019373,1
"intra","Plasma.cells","Pericytes",-0.0949317425391166,1
"intra","Plasma.cells","Plasma.cells",NA,1
"intra","Plasma.cells","T.cells",-0.535003307135116,1
"intra","Plasma.cells","pDCs",2.29147484804832,1
"intra","T.cells","Activated_Fib",-0.825176543486661,1
"intra","T.cells","Adventitial_Fib",-1.34486740180204,1
"intra","T.cells","B.cells",-0.289189661372249,1
"intra","T.cells","Cycling.cells",0.692924162654421,1
"intra","T.cells","ECM_Fib",-0.854519366931319,1
"intra","T.cells","Endothelial.cells",-0.745355608885321,1
"intra","T.cells","Epithelial.cells",-0.906202923151014,1
"intra","T.cells","Inflammatory_Fib",-0.77400596624222,1
"intra","T.cells","Macrophages",-0.778645488767904,1
"intra","T.cells","Mast.cells",-0.152945072394926,1
"intra","T.cells","Neutrophils",-0.745830723923373,1
"intra","T.cells","PI16_Fib",-0.676338157176914,1
"intra","T.cells","Pericytes",-1.20440835326141,1
"intra","T.cells","Plasma.cells",-0.164111288104607,1
"intra","T.cells","T.cells",NA,1
"intra","T.cells","pDCs",-0.694645594362632,1
"intra","pDCs","Activated_Fib",-1.06103179619433,1
"intra","pDCs","Adventitial_Fib",-1.2986860748598,1
"intra","pDCs","B.cells",-0.662137910665081,1
"intra","pDCs","Cycling.cells",-0.261555753231632,1
"intra","pDCs","ECM_Fib",-0.791719415028296,1
"intra","pDCs","Endothelial.cells",-1.05098912081505,1
"intra","pDCs","Epithelial.cells",-0.916255371146445,1
"intra","pDCs","Inflammatory_Fib",-0.700364331066979,1
"intra","pDCs","Macrophages",-0.974250016018748,1
"intra","pDCs","Mast.cells",-0.579691282636784,1
"intra","pDCs","Neutrophils",2.03494717631466,1
"intra","pDCs","PI16_Fib",-1.16815325022759,1
"intra","pDCs","Pericytes",-0.912133210271837,1
"intra","pDCs","Plasma.cells",0.0423703113973832,1
"intra","pDCs","T.cells",-1.05399544803128,1
"intra","pDCs","pDCs",NA,1
"juxta.50","juxtaActivated_Fib","Activated_Fib",1.35396838446434,1
"juxta.50","juxtaActivated_Fib","Adventitial_Fib",1.89946065909197,1
"juxta.50","juxtaActivated_Fib","B.cells",-0.959971719410973,1
"juxta.50","juxtaActivated_Fib","Cycling.cells",-0.0418131458169994,1
"juxta.50","juxtaActivated_Fib","ECM_Fib",0.395178827690012,1
"juxta.50","juxtaActivated_Fib","Endothelial.cells",-0.133218192762572,1
"juxta.50","juxtaActivated_Fib","Epithelial.cells",0.794121736605821,1
"juxta.50","juxtaActivated_Fib","Inflammatory_Fib",0.441334642716423,1
"juxta.50","juxtaActivated_Fib","Macrophages",0.468179603226763,1
"juxta.50","juxtaActivated_Fib","Mast.cells",1.01911596403946,1
"juxta.50","juxtaActivated_Fib","Neutrophils",0.561579394577531,1
"juxta.50","juxtaActivated_Fib","PI16_Fib",-0.288363668031804,1
"juxta.50","juxtaActivated_Fib","Pericytes",0.0232445878448975,1
"juxta.50","juxtaActivated_Fib","Plasma.cells",-0.479939313863923,1
"juxta.50","juxtaActivated_Fib","T.cells",1.78190072629271,1
"juxta.50","juxtaActivated_Fib","pDCs",0.114241785234743,1
"juxta.50","juxtaAdventitial_Fib","Activated_Fib",0.796155021783971,1
"juxta.50","juxtaAdventitial_Fib","Adventitial_Fib",-0.356098935576889,1
"juxta.50","juxtaAdventitial_Fib","B.cells",1.21279787094126,1
"juxta.50","juxtaAdventitial_Fib","Cycling.cells",-0.0484249864080926,1
"juxta.50","juxtaAdventitial_Fib","ECM_Fib",1.46064748668974,1
"juxta.50","juxtaAdventitial_Fib","Endothelial.cells",0.254310099648085,1
"juxta.50","juxtaAdventitial_Fib","Epithelial.cells",1.13565676872108,1
"juxta.50","juxtaAdventitial_Fib","Inflammatory_Fib",0.51270695094025,1
"juxta.50","juxtaAdventitial_Fib","Macrophages",0.862637207052379,1
"juxta.50","juxtaAdventitial_Fib","Mast.cells",1.02515193724119,1
"juxta.50","juxtaAdventitial_Fib","Neutrophils",-0.16044599998997,1
"juxta.50","juxtaAdventitial_Fib","PI16_Fib",0.96019467310368,1
"juxta.50","juxtaAdventitial_Fib","Pericytes",1.34491758086574,1
"juxta.50","juxtaAdventitial_Fib","Plasma.cells",-0.300067087899867,1
"juxta.50","juxtaAdventitial_Fib","T.cells",0.163673050237077,1
"juxta.50","juxtaAdventitial_Fib","pDCs",-0.135815905041271,1
"juxta.50","juxtaB.cells","Activated_Fib",-1.06101106759569,1
"juxta.50","juxtaB.cells","Adventitial_Fib",-1.09412276805021,1
"juxta.50","juxtaB.cells","B.cells",-1.42161517536453,1
"juxta.50","juxtaB.cells","Cycling.cells",0.0304096134201817,1
"juxta.50","juxtaB.cells","ECM_Fib",-1.09939835399251,1
"juxta.50","juxtaB.cells","Endothelial.cells",-0.672843163119105,1
"juxta.50","juxtaB.cells","Epithelial.cells",-0.839105297227253,1
"juxta.50","juxtaB.cells","Inflammatory_Fib",-0.819346347946844,1
"juxta.50","juxtaB.cells","Macrophages",-0.568142322297481,1
"juxta.50","juxtaB.cells","Mast.cells",-0.319276578859065,1
"juxta.50","juxtaB.cells","Neutrophils",-0.890652952888592,1
"juxta.50","juxtaB.cells","PI16_Fib",-0.519655068999522,1
"juxta.50","juxtaB.cells","Pericytes",-1.16870698004557,1
"juxta.50","juxtaB.cells","Plasma.cells",0.368757704345571,1
"juxta.50","juxtaB.cells","T.cells",-1.31895805155471,1
"juxta.50","juxtaB.cells","pDCs",-0.671179693700118,1
"juxta.50","juxtaCycling.cells","Activated_Fib",-0.992596914624756,1
"juxta.50","juxtaCycling.cells","Adventitial_Fib",-0.860996860773886,1
"juxta.50","juxtaCycling.cells","B.cells",0.0123259769272666,1
"juxta.50","juxtaCycling.cells","Cycling.cells",-0.0563815545818327,1
"juxta.50","juxtaCycling.cells","ECM_Fib",-0.831466446757586,1
"juxta.50","juxtaCycling.cells","Endothelial.cells",-0.692640641498041,1
"juxta.50","juxtaCycling.cells","Epithelial.cells",-0.831217686835012,1
"juxta.50","juxtaCycling.cells","Inflammatory_Fib",-0.653465028385928,1
"juxta.50","juxtaCycling.cells","Macrophages",-0.708089948368205,1
"juxta.50","juxtaCycling.cells","Mast.cells",-0.834042285696045,1
"juxta.50","juxtaCycling.cells","Neutrophils",-1.18565369010144,1
"juxta.50","juxtaCycling.cells","PI16_Fib",-0.847791152352063,1
"juxta.50","juxtaCycling.cells","Pericytes",-0.969184998454039,1
"juxta.50","juxtaCycling.cells","Plasma.cells",0.553897907201969,1
"juxta.50","juxtaCycling.cells","T.cells",-1.09137928798689,1
"juxta.50","juxtaCycling.cells","pDCs",-0.961334720955315,1
"juxta.50","juxtaECM_Fib","Activated_Fib",0.913552251908941,1
"juxta.50","juxtaECM_Fib","Adventitial_Fib",1.06349864110598,1
