"gene_name","module","kME"
"HLA-F","Fibroblasts4",0.256339371499897
"PIM1","Fibroblasts4",0.253932007322083
"SLC25A3","Fibroblasts4",0.252739119852566
"PVRL2","Fibroblasts4",0.25030920632389
"EMILIN1","Fibroblasts4",0.244709015020604
"NFE2L2","Fibroblasts4",0.242509078600169
"FOSL1","Fibroblasts4",0.238301275981889
"CSGALNACT1","Fibroblasts4",0.23551313480917
"RPL22L1","Fibroblasts4",0.227843607626317
"GLRX","Fibroblasts4",0.225855835976743
"TUBA1C","Fibroblasts4",0.223677201301024
"CTSS","Fibroblasts4",0.223415236365394
"DYRK3","Fibroblasts4",0.222589122322107
"C2","Fibroblasts4",0.218695745497798
"VGLL4","Fibroblasts4",0.218202165166114
"CTSL","Fibroblasts4",0.212868425946667
"GINM1","Fibroblasts4",0.212184416958206
"EIF4A3","Fibroblasts4",0.209868829981104
"PANX1","Fibroblasts4",0.208727752577889
"GPRC5A","Fibroblasts4",0.20807500032418
"MTRNR2L8","Fibroblasts4",0.199186601920027
"H1FX","Fibroblasts4",0.191373241161618
"SLC25A25","Fibroblasts4",0.188260820091587
"LINC00936","Fibroblasts4",0.183515006205882
"LUCAT1","Fibroblasts4",0.176441626221943
"PHB2","Fibroblasts4",0.173229146288445
"WNT6","Fibroblasts4",0.14633937676721
"MT-RNR2","Fibroblasts5",0.891338436301888
"MT-RNR1","Fibroblasts5",0.865975836503779
"RPL39P3","Fibroblasts5",0.8433920876785
"MTATP6P1","Fibroblasts5",0.837573593297982
"RPL6P27","Fibroblasts5",0.826445530803577
"CAVIN1","Fibroblasts5",0.814159204594852
"RPL3P4","Fibroblasts5",0.802751504782303
"RACK1","Fibroblasts5",0.797929532723219
"FTLP3","Fibroblasts5",0.789653186679703
"AC024293.1","Fibroblasts5",0.788025470845695
"AL590867.2","Fibroblasts5",0.787634752384149
"NORAD","Fibroblasts5",0.784954407370245
"RPL26P19","Fibroblasts5",0.778211632014567
"PTMAP2","Fibroblasts5",0.770203980315695
"RPS28P7","Fibroblasts5",0.760694161901938
"FTH1P20","Fibroblasts5",0.754406969755025
"AC116533.1","Fibroblasts5",0.753298858692905
"MATR3","Fibroblasts5",0.752756221282907
"SELENOF","Fibroblasts5",0.740517148873293
"RTL8C","Fibroblasts5",0.725930660638906
"MT-ATP8","Fibroblasts5",0.725312968605443
"RPL13AP5","Fibroblasts5",0.721287905238675
"RPL9P9","Fibroblasts5",0.71184484717143
"MT-ND6","Fibroblasts5",0.710020921818327
"RPS3AP6","Fibroblasts5",0.709982070193624
"MORF4L1P1","Fibroblasts5",0.696578348442535
"AC099560.2","Fibroblasts5",0.681641136225121
"RPL10AP6","Fibroblasts5",0.67873986032244
"TCEAL9","Fibroblasts5",0.677959739824567
"EEF1A1P5","Fibroblasts5",0.673201391137536
"BEX3","Fibroblasts5",0.660171808079894
"LHFPL6","Fibroblasts5",0.656333123420664
"AC136632.1","Fibroblasts5",0.654323010846569
"SEM1","Fibroblasts5",0.6534583949264
"MAP3K20","Fibroblasts5",0.651303495449275
"AC034236.1","Fibroblasts5",0.649433463711256
"AP001324.1","Fibroblasts5",0.647395732032302
"RPL34P18","Fibroblasts5",0.646357720811059
"AC114491.1","Fibroblasts5",0.645992028327661
"RPS23P8","Fibroblasts5",0.638204027318104
"RPL14P1","Fibroblasts5",0.630093953186377
"AC005912.1","Fibroblasts5",0.627978948851406
"PPIAP22","Fibroblasts5",0.627600574836216
"MESD","Fibroblasts5",0.613040527031247
"RPS27AP16","Fibroblasts5",0.611224483874147
"RPS7P1","Fibroblasts5",0.607668291810164
"KIRREL1","Fibroblasts5",0.605415595076472
"RPL4P4","Fibroblasts5",0.60451704801263
"AC004453.1","Fibroblasts5",0.603344057662203
"FO393411.1","Fibroblasts5",0.592296118699606
"NSD3","Fibroblasts5",0.58774305555445
"TRIR","Fibroblasts5",0.586465826304781
"OIP5-AS1","Fibroblasts5",0.577324766890285
"SELENOS","Fibroblasts5",0.547401152709459
"SPARC","Fibroblasts5",0.487565725887712
"COL1A2","Fibroblasts5",0.485503500447014
"COL1A1","Fibroblasts5",0.461780655077565
"COL11A1","Fibroblasts5",0.455946460912866
"MT-ND4L","Fibroblasts5",0.447842508058958
"TIMP2","Fibroblasts5",0.441158199558369
"CREB3L1","Fibroblasts5",0.438973116791504
"COL5A1","Fibroblasts5",0.424295409892776
"APP","Fibroblasts5",0.416583746685587
"COL12A1","Fibroblasts5",0.412561682402843
"ADAM12","Fibroblasts5",0.391255373181556
"MXRA5","Fibroblasts5",0.388900698341717
"FOXQ1","Fibroblasts5",0.380740148095919
"MAGED1","Fibroblasts5",0.375162554339328
"OLFML2B","Fibroblasts5",0.373883821736481
"MT-ND2","Fibroblasts5",0.370923959473839
