"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"KEGG_MEDICUS_ENV_FACTOR_NICOTINE_NNK_TO_PI3K_SIGNALING_PATHWAY","KEGG_MEDICUS_ENV_FACTOR_NICOTINE_NNK_TO_PI3K_SIGNALING_PATHWAY","1/48","11/6031",0.0909090909090909,11.4223484848485,3.09872802948652,0.0842127212634949,0.256237726443438,0.210293227768031,"2771",1
"KEGG_MEDICUS_REFERENCE_BETA_OXIDATION_ACYL_COA_SYNTHESIS","KEGG_MEDICUS_REFERENCE_BETA_OXIDATION_ACYL_COA_SYNTHESIS","1/48","11/6031",0.0909090909090909,11.4223484848485,3.09872802948652,0.0842127212634949,0.256237726443438,0.210293227768031,"2182",1
"KEGG_MEDICUS_REFERENCE_ELECTRON_TRANSFER_IN_COMPLEX_III","KEGG_MEDICUS_REFERENCE_ELECTRON_TRANSFER_IN_COMPLEX_III","1/48","11/6031",0.0909090909090909,11.4223484848485,3.09872802948652,0.0842127212634949,0.256237726443438,0.210293227768031,"4519",1
"KEGG_MEDICUS_PATHOGEN_HIV_GP120_TO_CXCR4_GNAI_PI3K_BAD_SIGNALING_PATHWAY","KEGG_MEDICUS_PATHOGEN_HIV_GP120_TO_CXCR4_GNAI_PI3K_BAD_SIGNALING_PATHWAY","1/48","12/6031",0.0833333333333333,10.4704861111111,2.94117249688213,0.091514679632158,0.256237726443438,0.210293227768031,"2771",1
"KEGG_MEDICUS_REFERENCE_CXCR4_GNAI_PI3K_BAD_SIGNALING_PATHWAY","KEGG_MEDICUS_REFERENCE_CXCR4_GNAI_PI3K_BAD_SIGNALING_PATHWAY","1/48","12/6031",0.0833333333333333,10.4704861111111,2.94117249688213,0.091514679632158,0.256237726443438,0.210293227768031,"2771",1
"KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_HTT_TO_ELECTRON_TRANSFER_IN_COMPLEX_III","KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_HTT_TO_ELECTRON_TRANSFER_IN_COMPLEX_III","1/48","12/6031",0.0833333333333333,10.4704861111111,2.94117249688213,0.091514679632158,0.256237726443438,0.210293227768031,"4519",1
"KEGG_GLIOMA","KEGG_GLIOMA","2/48","65/6031",0.0307692307692308,3.86602564102564,2.08072602235824,0.0940785316476208,0.256237726443438,0.210293227768031,"5159/5156",2
"KEGG_MEDICUS_PATHOGEN_ESCHERICHIA_MAP_TO_CDC42_SIGNALING_PATHWAY","KEGG_MEDICUS_PATHOGEN_ESCHERICHIA_MAP_TO_CDC42_SIGNALING_PATHWAY","1/48","13/6031",0.0769230769230769,9.6650641025641,2.80115497938763,0.0987596198843022,0.256237726443438,0.210293227768031,"71",1
"KEGG_MEDICUS_PATHOGEN_HCV_CORE_TO_ERK_SIGNALING_PATHWAY","KEGG_MEDICUS_PATHOGEN_HCV_CORE_TO_ERK_SIGNALING_PATHWAY","1/48","13/6031",0.0769230769230769,9.6650641025641,2.80115497938763,0.0987596198843022,0.256237726443438,0.210293227768031,"7529",1
"KEGG_MEDICUS_PATHOGEN_SHIGELLA_IPAC_TO_ACTIN_SIGNALING_PATHWAY","KEGG_MEDICUS_PATHOGEN_SHIGELLA_IPAC_TO_ACTIN_SIGNALING_PATHWAY","1/48","13/6031",0.0769230769230769,9.6650641025641,2.80115497938763,0.0987596198843022,0.256237726443438,0.210293227768031,"71",1
"KEGG_MEDICUS_PATHOGEN_ESCHERICHIA_EAE_TIR_TCCP_TO_ACTIN_SIGNALING_PATHWAY","KEGG_MEDICUS_PATHOGEN_ESCHERICHIA_EAE_TIR_TCCP_TO_ACTIN_SIGNALING_PATHWAY","1/48","14/6031",0.0714285714285714,8.97470238095238,2.67552041687051,0.105947977851327,0.256237726443438,0.210293227768031,"71",1
"KEGG_MEDICUS_PATHOGEN_ESCHERICHIA_ESPT_TO_RAC_SIGNALING_PATHWAY","KEGG_MEDICUS_PATHOGEN_ESCHERICHIA_ESPT_TO_RAC_SIGNALING_PATHWAY","1/48","14/6031",0.0714285714285714,8.97470238095238,2.67552041687051,0.105947977851327,0.256237726443438,0.210293227768031,"71",1
"KEGG_MEDICUS_REFERENCE_BILE_ACID_BIOSYNTHESIS","KEGG_MEDICUS_REFERENCE_BILE_ACID_BIOSYNTHESIS","1/48","14/6031",0.0714285714285714,8.97470238095238,2.67552041687051,0.105947977851327,0.256237726443438,0.210293227768031,"9420",1
"KEGG_MEDICUS_VARIANT_AMPLIFIED_PDGFR_TO_PLCG_CAMK_SIGNALING_PATHWAY","KEGG_MEDICUS_VARIANT_AMPLIFIED_PDGFR_TO_PLCG_CAMK_SIGNALING_PATHWAY","1/48","14/6031",0.0714285714285714,8.97470238095238,2.67552041687051,0.105947977851327,0.256237726443438,0.210293227768031,"5156",1
"KEGG_MEDICUS_VARIANT_AMPLIFIED_PDGFR_TO_RAS_ERK_SIGNALING_PATHWAY","KEGG_MEDICUS_VARIANT_AMPLIFIED_PDGFR_TO_RAS_ERK_SIGNALING_PATHWAY","1/48","14/6031",0.0714285714285714,8.97470238095238,2.67552041687051,0.105947977851327,0.256237726443438,0.210293227768031,"5156",1
"KEGG_LONG_TERM_DEPRESSION","KEGG_LONG_TERM_DEPRESSION","2/48","70/6031",0.0285714285714286,3.58988095238095,1.95204144406782,0.106577412135451,0.256237726443438,0.210293227768031,"2778/2771",2
"KEGG_VIRAL_MYOCARDITIS","KEGG_VIRAL_MYOCARDITIS","2/48","70/6031",0.0285714285714286,3.58988095238095,1.95204144406782,0.106577412135451,0.256237726443438,0.210293227768031,"4627/71",2
"KEGG_MEDICUS_REFERENCE_BCR_BCAP_CD19_PI3K_SIGNALING_PATHWAY","KEGG_MEDICUS_REFERENCE_BCR_BCAP_CD19_PI3K_SIGNALING_PATHWAY","1/48","15/6031",0.0666666666666667,8.37638888888889,2.5618594174213,0.11308018610513,0.256237726443438,0.210293227768031,"975",1
"KEGG_MEDICUS_REFERENCE_EP_NE_ADRB_CAMP_SIGNALING_PATHWAY","KEGG_MEDICUS_REFERENCE_EP_NE_ADRB_CAMP_SIGNALING_PATHWAY","1/48","15/6031",0.0666666666666667,8.37638888888889,2.5618594174213,0.11308018610513,0.256237726443438,0.210293227768031,"2778",1
"KEGG_MEDICUS_REFERENCE_PTH_PTH1R_PKA_SIGNALING_PATHWAY","KEGG_MEDICUS_REFERENCE_PTH_PTH1R_PKA_SIGNALING_PATHWAY","1/48","15/6031",0.0666666666666667,8.37638888888889,2.5618594174213,0.11308018610513,0.256237726443438,0.210293227768031,"2778",1
"KEGG_MEDICUS_VARIANT_AMPLIFIED_FGFR_TO_RAS_ERK_SIGNALING_PATHWAY","KEGG_MEDICUS_VARIANT_AMPLIFIED_FGFR_TO_RAS_ERK_SIGNALING_PATHWAY","1/48","15/6031",0.0666666666666667,8.37638888888889,2.5618594174213,0.11308018610513,0.256237726443438,0.210293227768031,"2260",1
"KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_FGF17_TO_RAS_ERK_SIGNALING_PATHWAY","KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_FGF17_TO_RAS_ERK_SIGNALING_PATHWAY","1/48","15/6031",0.0666666666666667,8.37638888888889,2.5618594174213,0.11308018610513,0.256237726443438,0.210293227768031,"2260",1
"KEGG_ADHERENS_JUNCTION","KEGG_ADHERENS_JUNCTION","2/48","73/6031",0.0273972602739726,3.44235159817352,1.8803519231299,0.114282921950482,0.256237726443438,0.210293227768031,"2260/71",2
"KEGG_MEDICUS_REFERENCE_DRD1_GNAS_AC_PKA_SIGNALING_PATHWAY","KEGG_MEDICUS_REFERENCE_DRD1_GNAS_AC_PKA_SIGNALING_PATHWAY","1/48","16/6031",0.0625,7.85286458333333,2.45829557161583,0.120156673981951,0.256237726443438,0.210293227768031,"2778",1
"KEGG_MEDICUS_REFERENCE_FSHR_GNAS_PKA_SIGNALING_PATHWAY","KEGG_MEDICUS_REFERENCE_FSHR_GNAS_PKA_SIGNALING_PATHWAY","1/48","16/6031",0.0625,7.85286458333333,2.45829557161583,0.120156673981951,0.256237726443438,0.210293227768031,"2778",1
"KEGG_MEDICUS_REFERENCE_LHCGR_GNAS_PKA_SIGNALING_PATHWAY","KEGG_MEDICUS_REFERENCE_LHCGR_GNAS_PKA_SIGNALING_PATHWAY","1/48","16/6031",0.0625,7.85286458333333,2.45829557161583,0.120156673981951,0.256237726443438,0.210293227768031,"2778",1
"KEGG_MEDICUS_REFERENCE_WNT5A_ROR_SIGNALING_PATHWAY","KEGG_MEDICUS_REFERENCE_WNT5A_ROR_SIGNALING_PATHWAY","1/48","16/6031",0.0625,7.85286458333333,2.45829557161583,0.120156673981951,0.256237726443438,0.210293227768031,"7474",1
"KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS","KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS","1/48","16/6031",0.0625,7.85286458333333,2.45829557161583,0.120156673981951,0.256237726443438,0.210293227768031,"9420",1
"KEGG_MEDICUS_PATHOGEN_ESCHERICHIA_EAE_TIR_TO_ACTIN_SIGNALING_PATHWAY","KEGG_MEDICUS_PATHOGEN_ESCHERICHIA_EAE_TIR_TO_ACTIN_SIGNALING_PATHWAY","1/48","17/6031",0.0588235294117647,7.39093137254902,2.36334256091132,0.127177867606035,0.258741178922624,0.212347800721511,"71",1
"KEGG_MEDICUS_REFERENCE_CX3CR1_GNAI_AC_PKA_SIGNALING_PATHWAY","KEGG_MEDICUS_REFERENCE_CX3CR1_GNAI_AC_PKA_SIGNALING_PATHWAY","1/48","17/6031",0.0588235294117647,7.39093137254902,2.36334256091132,0.127177867606035,0.258741178922624,0.212347800721511,"2771",1
"KEGG_MEDICUS_REFERENCE_IL1_IL1R_P38_SIGNALING_PATHWAY","KEGG_MEDICUS_REFERENCE_IL1_IL1R_P38_SIGNALING_PATHWAY","1/48","17/6031",0.0588235294117647,7.39093137254902,2.36334256091132,0.127177867606035,0.258741178922624,0.212347800721511,"3554",1
"KEGG_RENIN_ANGIOTENSIN_SYSTEM","KEGG_RENIN_ANGIOTENSIN_SYSTEM","1/48","17/6031",0.0588235294117647,7.39093137254902,2.36334256091132,0.127177867606035,0.258741178922624,0.212347800721511,"4311",1
