"ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0048008","platelet-derived growth factor receptor signaling pathway","4/95","63/18860",0.0634920634920635,12.6048454469507,6.56465963158814,0.000286631338657397,0.0209662393894396,0.0164879574992397,"IL1R1/PDGFRB/NR4A3/PDGFRA",4
"BP","GO:0071868","cellular response to monoamine stimulus","4/95","64/18860",0.0625,12.4078947368421,6.5044356660981,0.000304568194415999,0.0216210207794637,0.0170028809211028,"GNAS/GNB1/MBD2/NR4A3",4
"BP","GO:0043549","regulation of kinase activity","7/95","256/18860",0.02734375,5.42845394736842,5.07593203561652,0.000312970143972937,0.0216210207794637,0.0170028809211028,"DDR2/FBN1/FGFR1/WNT5A/PDGFRB/MIDN/HNRNPU",7
"BP","GO:0001654","eye development","9/95","432/18860",0.0208333333333333,4.1359649122807,4.6915982427165,0.000329480510068763,0.0218623299435219,0.0171926476774231,"VIM/PXDN/FBN1/TWIST1/GNB1/WNT5A/PDGFRB/PDGFRA/COL4A1",9
"BP","GO:0048545","response to steroid hormone","8/95","343/18860",0.0233236151603499,4.63035138867577,4.82788880027684,0.000339281974980801,0.0218623299435219,0.0171926476774231,"JUND/FOSB/KLF9/PMEPA1/CYP7B1/DDX17/NR4A3/HNRNPU",8
"BP","GO:0071867","response to monoamine","4/95","66/18860",0.0606060606060606,12.0318979266348,6.38791957832348,0.000342835089584783,0.0218623299435219,0.0171926476774231,"GNAS/GNB1/MBD2/NR4A3",4
"BP","GO:0150063","visual system development","9/95","436/18860",0.0206422018348624,4.09802028005794,4.65674425085423,0.000352409265862853,0.0219110461050229,0.0172309583150837,"VIM/PXDN/FBN1/TWIST1/GNB1/WNT5A/PDGFRB/PDGFRA/COL4A1",9
"BP","GO:0045927","positive regulation of growth","7/95","263/18860",0.026615969581749,5.28397038222934,4.97794090757493,0.000368228419752596,0.0222342045886992,0.0174850917934536,"MACF1/BASP1/FGFR1/GOLGA4/ACSL4/YBX3/TEAD1",7
"BP","GO:0051893","regulation of focal adhesion assembly","4/95","68/18860",0.0588235294117647,11.6780185758514,6.27632573620406,0.000384427341099342,0.0222342045886992,0.0174850917934536,"MACF1/MAP4K4/TLN1/ACTG1",4
"BP","GO:0090109","regulation of cell-substrate junction assembly","4/95","68/18860",0.0588235294117647,11.6780185758514,6.27632573620406,0.000384427341099342,0.0222342045886992,0.0174850917934536,"MACF1/MAP4K4/TLN1/ACTG1",4
"BP","GO:0048880","sensory system development","9/95","443/18860",0.0203160270880361,4.03326600926696,4.59673815904501,0.000395709104591173,0.022366557798142,0.0175891750318277,"VIM/PXDN/FBN1/TWIST1/GNB1/WNT5A/PDGFRB/PDGFRA/COL4A1",9
"BP","GO:0043500","muscle adaptation","5/95","126/18860",0.0396825396825397,7.87802840434419,5.511639807487,0.000440504070591965,0.0243010523981474,0.0191104714434038,"IL1R1/IL6ST/PDGFRB/ATP2A2/NR4A3",5
"BP","GO:0072012","glomerulus vasculature development","3/95","30/18860",0.1,19.8526315789474,7.3528261295137,0.000455442574074247,0.0243010523981474,0.0191104714434038,"EGR1/PDGFRB/PDGFRA",3
"BP","GO:0045860","positive regulation of protein kinase activity","5/95","128/18860",0.0390625,7.75493421052632,5.45608191988639,0.000473444118756194,0.0243010523981474,0.0191104714434038,"DDR2/FBN1/FGFR1/WNT5A/PDGFRB",5
"BP","GO:0002367","cytokine production involved in immune response","5/95","130/18860",0.0384615384615385,7.63562753036437,5.40171462271993,0.000508207090970881,0.0243010523981474,0.0191104714434038,"CD81/IL1R1/TWIST1/WNT5A/NR4A3",5
"BP","GO:0002718","regulation of cytokine production involved in immune response","5/95","130/18860",0.0384615384615385,7.63562753036437,5.40171462271993,0.000508207090970881,0.0243010523981474,0.0191104714434038,"CD81/IL1R1/TWIST1/WNT5A/NR4A3",5
"BP","GO:0001952","regulation of cell-matrix adhesion","5/95","131/18860",0.0381679389312977,7.57734029730816,5.37496342583247,0.000526292284711076,0.0243010523981474,0.0191104714434038,"MACF1/MAP4K4/TLN1/ACTG1/SERPINE1",5
"BP","GO:0043434","response to peptide hormone","9/95","461/18860",0.0195227765726681,3.87578490695285,4.44791625285466,0.000527602406300591,0.0243010523981474,0.0191104714434038,"JUND/GNAS/EGR1/DDR2/FBN1/MT-CYB/NR4A3/SLC39A14/RHOQ",9
"BP","GO:0032835","glomerulus development","4/95","74/18860",0.0540540540540541,10.7311522048364,5.96773891553211,0.000530788247293262,0.0243010523981474,0.0191104714434038,"EGR1/BASP1/PDGFRB/PDGFRA",4
"BP","GO:0097305","response to alcohol","7/95","280/18860",0.025,4.96315789473684,4.75383807378778,0.000535386553822213,0.0243010523981474,0.0191104714434038,"JUND/GNAS/FOSB/KLF9/MT-CYB/GNB1/AHR",7
"BP","GO:0031589","cell-substrate adhesion","8/95","369/18860",0.021680216802168,4.30409356725146,4.56070697475447,0.000550468820230473,0.0243010523981474,0.0191104714434038,"LAMB1/ITGB5/MACF1/MAP4K4/CDH11/TLN1/ACTG1/SERPINE1",8
"BP","GO:0061437","renal system vasculature development","3/95","32/18860",0.09375,18.6118421052632,7.09454464668092,0.000552361268796325,0.0243010523981474,0.0191104714434038,"EGR1/PDGFRB/PDGFRA",3
"BP","GO:0061440","kidney vasculature development","3/95","32/18860",0.09375,18.6118421052632,7.09454464668092,0.000552361268796325,0.0243010523981474,0.0191104714434038,"EGR1/PDGFRB/PDGFRA",3
"BP","GO:0007369","gastrulation","6/95","203/18860",0.0295566502463054,5.86777288047705,4.96140029945451,0.000566731419015903,0.0243010523981474,0.0191104714434038,"LAMB1/MYH9/ITGB5/FGFR1/WNT5A/NR4A3",6
"BP","GO:0030324","lung development","6/95","203/18860",0.0295566502463054,5.86777288047705,4.96140029945451,0.000566731419015903,0.0243010523981474,0.0191104714434038,"MME/FBN1/EPAS1/FGFR1/WNT5A/PDGFRA",6
"BP","GO:0150116","regulation of cell-substrate junction organization","4/95","76/18860",0.0526315789473684,10.4487534626039,5.87265005389935,0.000587319718597646,0.024757019324616,0.0194690461579737,"MACF1/MAP4K4/TLN1/ACTG1",4
"BP","GO:0055001","muscle cell development","6/95","206/18860",0.029126213592233,5.78231987736331,4.91058343093248,0.000612134526602766,0.0251861038473593,0.0198064804132621,"COL14A1/PDGFRB/ATP2A2/PDGFRA/ACTG1/HNRNPU",6
"BP","GO:0048568","embryonic organ development","9/95","472/18860",0.0190677966101695,3.78545941123996,4.36061189118653,0.000624653169569355,0.0251861038473593,0.0198064804132621,"FBN1/TWIST1/EPAS1/MBD2/FGFR1/WNT5A/NR4A3/PDGFRA/TEAD1",9
"BP","GO:0030323","respiratory tube development","6/95","207/18860",0.0289855072463768,5.75438596491228,4.89386642453161,0.000627880353251418,0.0251861038473593,0.0198064804132621,"MME/FBN1/EPAS1/FGFR1/WNT5A/PDGFRA",6
"BP","GO:0033674","positive regulation of kinase activity","5/95","137/18860",0.0364963503649635,7.24548597771802,5.2201820753659,0.00064517107920456,0.0254688964124086,0.02002886992752,"DDR2/FBN1/FGFR1/WNT5A/PDGFRB",5
"BP","GO:0043010","camera-type eye development","8/95","379/18860",0.0211081794195251,4.1905290931815,4.46443422799771,0.00065576316619605,0.0254825467863996,0.0200396046511885,"VIM/FBN1/TWIST1/GNB1/WNT5A/PDGFRB/PDGFRA/COL4A1",8
"BP","GO:0045669","positive regulation of osteoblast differentiation","4/95","79/18860",0.0506329113924051,10.051965356429,5.73645935760787,0.000679949569779284,0.0260159166160166,0.0204590494032374,"JUND/FAM20C/DDR2/IL6ST",4
"BP","GO:0141193","nuclear receptor-mediated signaling pathway","6/95","211/18860",0.028436018957346,5.64529807932153,4.82807367534928,0.000694033985682644,0.026152462460496,0.0205664297511699,"JUND/TWIST1/PMEPA1/CYP7B1/DDX17/NR4A3",6
"BP","GO:0030099","myeloid cell differentiation","9/95","481/18860",0.0187110187110187,3.71462960936645,4.2911038943313,0.000714543602946569,0.0265234319481809,0.0208581620467357,"CD81/FAM20C/MYH9/FBN1/EPAS1/SH3PXD2A/MXRA7/TPM4/HNRNPU",9
"BP","GO:0003012","muscle system process","9/95","485/18860",0.0185567010309278,3.68399348887683,4.26074459643753,0.000757757890891973,0.0277138805095344,0.0217943368618775,"GNAS/IL1R1/HSP90AA1/COL14A1/IL6ST/PDGFRB/ATP2A2/NR4A3/TPM4",9
"BP","GO:0051897","positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction","6/95","217/18860",0.0276497695852535,5.48920688818821,4.73247617543809,0.000803252028613014,0.0289519970313126,0.0227679980040119,"IL1R1/DDR2/FGFR1/WNT5A/PDGFRB/PDGFRA",6
