"gene_name","module","color","kME_grey","kME_Fibroblasts1","kME_Fibroblasts2","kME_Fibroblasts3","kME_Fibroblasts4","kME_Fibroblasts5","kME_Fibroblasts6","kME_Fibroblasts7","kME_Fibroblasts8","kME_Fibroblasts9"
"AMFR","Fibroblasts6","brown",-0.0216029436516751,-0.0483876449718771,-0.00657436151675166,-0.00804740871833623,-0.0605937063826954,0.0391739743538699,0.285183939121742,0.0322969086723055,0.0254587880866066,-0.0467110275653445
"AMOTL2","Fibroblasts2","turquoise",0.185785878487214,0.00751839885705269,0.213515004961426,0.00262285639335224,0.126128679416531,0.0988557384623115,0.0428236635025828,0.104685584575168,0.0435821769149897,0.105512917070971
"AMZ2","Fibroblasts1","blue",0.0344979345091606,0.0781429908126869,-0.0323391815300136,0.0185627595068609,-0.0101544963452016,0.00633735646682535,0.0421766795438786,0.0369026944166511,0.0504996450856283,0.0223368004587958
"ANAPC11","Fibroblasts1","blue",0.0686146560463164,0.315816239000322,-0.0856571455696712,-0.0214517503459236,0.0842109005920967,-0.167217892940273,0.0577070507851388,0.0187122408525834,0.0670010509947477,0.091651211226975
"ANAPC13","Fibroblasts1","blue",0.0247770998764535,0.172778882872612,-0.0941978202260634,-0.0155442339325669,0.0361001220026493,-0.0655454377603677,0.0118081296859224,0.0216952148160008,0.0523393307222282,0.0720501820899159
"ANAPC15","Fibroblasts1","blue",0.0412225118884296,0.10956308747933,-0.0144395252271455,-0.0342184130306626,0.0469906303922855,-0.0587776680389745,0.012286631889514,0.0142207449193253,0.0221896666800312,0.0401401660191123
"ANAPC16","Fibroblasts1","blue",0.0419564851251444,0.240671475993414,-0.0979847033797356,0.00881676127226834,0.0511689856415458,-0.120030769912979,0.0215763451948465,-0.0243263720654526,0.0350672035820453,0.0825512345143307
"ANG","Fibroblasts3","green",0.0139293732073383,0.0590996428733307,-0.0303731977456959,0.144554017045897,-0.0323987718529182,-0.0608084001765318,0.00374503169073285,-0.0157754428083137,0.029665851152807,-0.00362125117606921
"ANGPT1","Fibroblasts2","turquoise",0.22335757776067,0.0247700996901221,0.261826383183853,-0.0326445016659426,0.139207710910417,0.102887261768364,0.0348777770347246,0.199033924440645,0.126733329462228,0.145913182967704
"ANGPTL1","Fibroblasts3","green",-0.0031357066270587,-0.0986474654497995,-0.049985371640458,0.414990221921521,-0.16702323608059,0.0668428669576077,0.00781614656169608,-0.0730794340397831,-0.0372341860976842,-0.129729408881199
"ANGPTL2","Fibroblasts2","turquoise",0.230974881671451,0.0176169587599489,0.286837536572097,-0.0771562203391988,0.15070944801825,0.104479274229432,0.0121670803823738,0.176148996857624,0.133647173997813,0.0775814285800285
"ANK1","Fibroblasts2","turquoise",0.120203928980002,0.0474157833952065,0.131132378100015,0.0148408826657198,0.0861685720829056,-0.0167206266176121,0.0210531316771246,-0.00167783000446829,-0.0254555720180006,0.0549693905629955
"ANKIB1","Fibroblasts2","turquoise",0.174831593278758,-0.0390133202857621,0.201943758442971,0.0323688189621764,0.0453196573938232,0.149816858310374,0.0619072860729102,0.121768844091513,0.0740519138994179,0.0211131228185496
"ANKLE2","Fibroblasts2","turquoise",0.175934753241491,-0.00098074931121831,0.219275903476546,-0.016108409042093,0.107390662320542,0.0479932284404063,0.0341335074601152,0.0519985620987724,0.0135082541310753,0.0460383269196444
"ANKRD10","Fibroblasts1","blue",0.091669128339331,0.100486666755177,0.0485757025675866,-0.0530178646135473,0.0895106972120583,-0.0552820639202607,0.07572909698664,0.0424262280946217,0.0584348562337599,0.0861322142521258
